Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	101.283211140494	101.511671020556	515.109261397944	2531.54216085416	113_100_1
2	Spectrogram 1	1	104.407968695538	104.590869974655	597.749953998608	2862.10493125681	113_100_2
3	Spectrogram 1	1	159.837598324901	159.910407324649	729.975062159671	2944.74562385748	113_160_1
4	Spectrogram 1	1	160.344914323512	160.611579878165	729.975062159671	2895.16120829708	113_160_2
5	Spectrogram 1	1	160.872791116551	161.165625017654	729.975062159671	2829.04865421655	113_160_3
6	Spectrogram 1	1	161.385742240782	161.667665532553	696.918785119405	2829.04865421655	113_160_4
7	Spectrogram 1	1	161.809027580563	162.067849765595	713.446923639538	2663.76726901522	113_160_5
8	Spectrogram 1	1	162.308499742361	162.595908815423	713.446923639538	2729.87982309575	113_160_6
9	Spectrogram 1	1	162.874415056517	163.168652150781	614.278092518741	2696.82354605548	113_160_7
10	Spectrogram 1	1	163.701101241594	163.964836026362	581.221815478475	2647.23913049509	113_160_8
11	Spectrogram 1	1	164.157098563746	164.443143428634	415.940430277146	2581.12657641455	113_160_9
12	Spectrogram 1	1	164.617333742959	164.894128982074	482.052984357678	2531.54216085416	113_160_10
13	Spectrogram 1	1	165.055873681105	165.346462950708	498.58112287781	2415.84519121323	113_165_1
14	Spectrogram 1	1	165.525251374103	165.760176848096	482.052984357678	2432.37332973336	113_165_2
15	Spectrogram 1	1	170.564014440697	170.853570261032	217.602768035552	2415.84519121323	113_170_1
16	Spectrogram 1	1	174.0631589746	174.325738044623	399.412291757013	2481.95774529376	113_170_2
17	Spectrogram 1	1	176.264896080821	176.500651854823	432.468568797279	2200.9793904515	113_175_1
18	Spectrogram 1	1	177.078172687202	177.336699747361	581.221815478475	2399.31705269309	113_175_2
19	Spectrogram 1	1	177.591468499711	177.842581024316	564.693676958342	2531.54216085416	113_175_3
20	Spectrogram 1	1	178.03131645325	178.334131953103	515.109261397944	2531.54216085416	113_175_4
21	Spectrogram 1	1	180.106686872482	180.414207614241	415.940430277146	2267.09194453203	113_180_1
22	Spectrogram 1	1	180.595955664721	180.86890769491	564.693676958342	2481.95774529376	113_180_2
23	Spectrogram 1	1	181.035158969211	181.278570130096	515.109261397944	2366.26077565283	113_180_3
24	Spectrogram 1	1	182.891823393811	183.16190023232	548.165538438209	2217.50752897163	113_180_4
25	Spectrogram 1	1	187.09963780949	187.369874069046	515.109261397944	2300.14822157229	113_185_1
26	Spectrogram 1	1	187.550498943282	187.801331276148	515.109261397944	2481.95774529376	113_185_2
27	Spectrogram 1	1	188.010551055317	188.287635759587	548.165538438209	2448.90146825349	113_185_3
28	Spectrogram 1	1	188.433216927401	188.652639637896	515.109261397944	2498.48588381389	113_185_4
29	Spectrogram 1	1	188.817003493644	189.119818993498	548.165538438209	2548.07029937429	113_185_5
30	Spectrogram 1	1	191.418765151293	191.719182622123	482.052984357678	2382.78891417296	113_190_1
31	Spectrogram 1	1	191.884758649561	192.137125617454	465.524845837545	2432.37332973336	113_190_2
32	Spectrogram 1	1	193.190286108972	193.47791912247	465.524845837545	2630.71099197495	113_190_3
33	Spectrogram 1	1	194.761140109864	195.005152184347	498.58112287781	2581.12657641455	113_190_4
34	Spectrogram 1	1	196.036475454688	196.289590602459	333.299737676482	2498.48588381389	113_195_1
35	Spectrogram 1	1	196.614762046267	196.875867885357	333.299737676482	2399.31705269309	113_195_2
36	Spectrogram 1	1	197.827117869277	198.077298707354	432.468568797279	2498.48588381389	113_195_3
37	Spectrogram 1	1	198.326715954202	198.622819936971	382.88415323688	2481.95774529376	113_195_4
38	Spectrogram 1	1	202.649091642614	202.933288497759	515.109261397944	2465.42960677362	113_200_1
39	Spectrogram 1	1	203.119629194346	203.386459417316	531.637399918076	2614.18285345482	113_200_2
40	Spectrogram 1	1	203.60589435822	203.886138104957	531.637399918076	2515.01402233402	113_200_3
41	Spectrogram 1	1	203.988592147915	204.27725280763	515.109261397944	2597.65471493469	113_200_4
42	Spectrogram 1	1	204.410111318111	204.675781947857	498.58112287781	2647.23913049509	113_200_5
43	Spectrogram 1	1	204.818313329173	205.104021239677	482.052984357678	2614.18285345482	113_200_6
44	Spectrogram 1	1	207.113322785035	207.417226926045	448.996707317412	2300.14822157229	113_205_1
45	Spectrogram 1	1	207.597083445554	207.88738050712	482.052984357678	2564.59843789442	113_205_2
46	Spectrogram 1	1	214.640057022619	214.891014697858	333.299737676482	2316.67636009243	113_210_1
47	Spectrogram 1	1	216.228697711944	216.496651156596	316.771599156349	2647.23913049509	113_215_1
48	Spectrogram 1	1	216.919458986727	217.129490840954	333.299737676482	2548.07029937429	113_215_2
49	Spectrogram 1	1	217.877123765018	218.168595770831	300.243460636216	2498.48588381389	113_215_3
50	Spectrogram 1	1	218.405388202399	218.641315674544	515.109261397944	2614.18285345482	113_215_4
