Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	196.816510126018	197.062919174016	184.546490995286	2762.93610013602	121_195_1
2	Spectrogram 1	1	198.507333932998	198.738239267856	134.962075434887	2795.99237717628	121_195_2
3	Spectrogram 1	1	199.610329909328	199.750233291417	201.074629515419	2663.76726901522	121_195_3
4	Spectrogram 1	1	205.029297554513	205.327045604222	779.55947772007	2812.52051569641	121_205_1
5	Spectrogram 1	1	205.460540095256	205.780445295961	845.672031800601	2746.40796161588	121_205_2
6	Spectrogram 1	1	205.921976821203	206.171029379749	696.918785119405	2795.99237717628	121_205_3
7	Spectrogram 1	1	206.332892186721	206.617420193201	614.278092518741	2812.52051569641	121_205_4
8	Spectrogram 1	1	206.76194201672	207.054257794601	630.806231038874	2729.87982309575	121_205_5
9	Spectrogram 1	1	207.244466707644	207.491876804152	663.862508079139	2630.71099197495	121_205_6
10	Spectrogram 1	1	208.309751705345	208.512659641039	746.503200679804	2630.71099197495	121_205_7
11	Spectrogram 1	1	284.258727617783	284.39643414653	597.749953998608	2647.23913049509	121_280_1
12	Spectrogram 1	1	284.723207335616	284.901736700428	597.749953998608	2746.40796161588	121_280_2
13	Spectrogram 1	1	290.096329473635	290.244910014702	630.806231038874	2349.73263713269	121_290_1
14	Spectrogram 1	1	291.748987635265	291.842697414221	597.749953998608	2630.71099197495	121_290_2
15	Spectrogram 1	1	996.186324714814	996.326728754107	548.165538438209	2465.42960677362	121_995_1
16	Spectrogram 1	1	996.930509881534	997.091231220612	531.637399918076	2531.54216085416	121_995_2
17	Spectrogram 1	1	997.435512966964	997.593292072527	614.278092518741	2498.48588381389	121_995_3
18	Spectrogram 1	1	997.898295852976	998.147348411521	498.58112287781	2548.07029937429	121_995_4
19	Spectrogram 1	1	998.477541111926	998.739002333319	531.637399918076	2564.59843789442	121_995_5
20	Spectrogram 1	1	998.967635968006	999.135148492649	498.58112287781	2548.07029937429	121_995_6
21	Spectrogram 1	1	999.560773610641	999.756137312591	531.637399918076	2762.93610013602	121_995_7
22	Spectrogram 1	1	1976.89513117434	1977.16425115086	878.728308840867	2349.73263713269	121_1975_1
23	Spectrogram 1	1	3323.20619319755	3323.26594975204	614.278092518741	2829.04865421655	121_3320_1
24	Spectrogram 1	1	3324.12758178371	3324.1920889986	581.221815478475	2250.5638060119	121_3320_2
25	Spectrogram 1	1	3324.70120192836	3324.89119922412	515.109261397944	2713.35168457562	121_3320_3
26	Spectrogram 1	1	3325.23040046382	3325.41606443666	647.334369559006	2911.68934681721	121_3325_1
27	Spectrogram 1	1	3325.79758115632	3326.02570295575	647.334369559006	2961.27376237761	121_3325_2
28	Spectrogram 1	1	3328.22719931982	3328.50856291078	647.334369559006	2862.10493125681	121_3325_3
29	Spectrogram 1	1	3328.73894306911	3328.96098913932	663.862508079139	2729.87982309575	121_3325_4
30	Spectrogram 1	1	3329.35065083027	3329.59344349965	630.806231038874	2680.29540753535	121_3325_5
31	Spectrogram 1	1	3329.8970504175	3330.13770440991	713.446923639538	2762.93610013602	121_3325_6
32	Spectrogram 1	1	3330.49572136756	3330.71187458753	630.806231038874	2548.07029937429	121_3330_1
33	Spectrogram 1	1	3331.18515507171	3331.44549042557	465.524845837545	2746.40796161588	121_3330_2
34	Spectrogram 1	1	3331.90319770883	3332.10748796806	630.806231038874	2729.87982309575	121_3330_3
35	Spectrogram 1	1	3333.58426765406	3333.96788410082	168.018352475153	2366.26077565283	121_3330_4
36	Spectrogram 1	1	3334.62412662369	3334.99643306283	168.018352475153	2399.31705269309	121_3330_5
37	Spectrogram 1	1	3353.92931206497	3354.14586411938	597.749953998608	2812.52051569641	121_3350_1
38	Spectrogram 1	1	3354.45872952204	3354.68409781649	564.693676958342	2862.10493125681	121_3350_2
39	Spectrogram 1	1	3355.00503583058	3355.22076384925	515.109261397944	2895.16120829708	121_3355_1
40	Spectrogram 1	1	3402.49437784726	3402.71924970863	614.278092518741	2911.68934681721	121_3400_1
41	Spectrogram 1	1	3402.87162919382	3403.11217388429	630.806231038874	2779.46423865615	121_3400_2
42	Spectrogram 1	1	3403.23599052427	3403.52943465474	548.165538438209	2762.93610013602	121_3400_3
43	Spectrogram 1	1	3403.65044346488	3403.91758859471	647.334369559006	2647.23913049509	121_3400_4
44	Spectrogram 1	1	3404.06122740769	3404.33633000934	597.749953998608	2564.59843789442	121_3400_5
45	Spectrogram 1	1	3404.5019804182	3404.7293868296	680.390646599272	2630.71099197495	121_3400_6
46	Spectrogram 1	1	3404.9402569263	3405.12206398077	680.390646599272	2630.71099197495	121_3405_1
47	Spectrogram 1	1	3405.34721751428	3405.59318085135	647.334369559006	2762.93610013602	121_3405_2
48	Spectrogram 1	1	3405.76029912795	3406.01433064789	465.524845837545	2597.65471493469	121_3405_3
49	Spectrogram 1	1	3406.15559995856	3406.43699320784	515.109261397944	2647.23913049509	121_3405_4
50	Spectrogram 1	1	3406.68109384392	3406.88538410315	515.109261397944	2581.12657641455	121_3405_5
51	Spectrogram 1	1	3409.53689869581	3409.64878547553	498.58112287781	1936.52917412937	121_3405_6
52	Spectrogram 1	1	3410.02573266478	3410.24047331098	581.221815478475	2548.07029937429	121_3410_1
53	Spectrogram 1	1	3410.46095059977	3410.72695894791	531.637399918076	2713.35168457562	121_3410_2
54	Spectrogram 1	1	3410.94811193247	3411.18626959682	498.58112287781	2762.93610013602	121_3410_3
55	Spectrogram 1	1	3411.47585261757	3411.73213190762	415.940430277146	2498.48588381389	121_3410_4
56	Spectrogram 1	1	3411.9702002783	3412.25697250712	448.996707317412	2713.35168457562	121_3410_5
57	Spectrogram 1	1	3412.47752721745	3412.71072789279	531.637399918076	2713.35168457562	121_3410_6
58	Spectrogram 1	1	3413.05573614218	3413.31334030476	515.109261397944	2713.35168457562	121_3410_7
59	Spectrogram 1	1	3413.70406086574	3414.00722140865	515.109261397944	2581.12657641455	121_3410_8
60	Spectrogram 1	1	5480.1359621388	5480.5493163113	614.278092518741	2994.33003941788	121_5480_1
61	Spectrogram 1	1	5481.01691680373	5481.36909710569	614.278092518741	3209.1958401796	121_5480_2
62	Spectrogram 1	1	5563.19252503745	5563.50645000323	548.165538438209	3242.25211721987	121_5560_1
63	Spectrogram 1	1	5563.75256898294	5564.07230745071	548.165538438209	3027.38631645814	121_5560_2
64	Spectrogram 1	1	5564.29168872292	5564.62846613504	531.637399918076	3076.97073201854	121_5560_3
65	Spectrogram 1	1	5564.85575103233	5565.17870760949	548.165538438209	3027.38631645814	121_5560_4
66	Spectrogram 1	1	5565.44144869648	5565.76077817649	548.165538438209	3242.25211721987	121_5565_1
