Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	17.3635195602242	18.0508564710693	564.693676958342	2895.16120829708	170_15_1
2	Spectrogram 1	1	18.5402012749889	19.2637154530212	448.996707317412	2911.68934681721	170_15_2
3	Spectrogram 1	1	415.394560560134	415.651474654777	680.390646599272	2432.37332973336	170_415_1
4	Spectrogram 1	1	415.947779003345	416.177788361	663.862508079139	2283.62008305216	170_415_2
5	Spectrogram 1	1	416.449622367654	416.723282849567	283.715322116083	2085.28242081057	170_415_3
6	Spectrogram 1	1	417.038462879443	417.265133144636	597.749953998608	2184.45125193136	170_415_4
7	Spectrogram 1	1	424.035152402693	424.241293581421	349.827876196615	2300.14822157229	170_420_1
8	Spectrogram 1	1	424.75686115693	425.039624788966	432.468568797279	2349.73263713269	170_420_2
9	Spectrogram 1	1	514.905013949548	515.137142315113	779.55947772007	2349.73263713269	170_515_1
10	Spectrogram 1	1	515.387340301036	515.618056316837	796.087616240203	2448.90146825349	170_515_2
11	Spectrogram 1	1	515.880817187497	516.166502791606	680.390646599272	2680.29540753535	170_515_3
12	Spectrogram 1	1	516.521037338449	516.762074447843	614.278092518741	2448.90146825349	170_515_4
13	Spectrogram 1	1	518.726742123251	518.953847298852	746.503200679804	2432.37332973336	170_515_5
14	Spectrogram 1	1	519.264604869781	519.541864416627	647.334369559006	2581.12657641455	170_515_6
15	Spectrogram 1	1	519.783504788034	520.035736803218	729.975062159671	2481.95774529376	170_515_7
16	Spectrogram 1	1	771.275067763981	771.626241481156	647.334369559006	3738.09627282386	170_770_1
17	Spectrogram 1	1	771.802182228904	772.131459023588	746.503200679804	3671.98371874332	170_770_2
18	Spectrogram 1	1	772.340833668358	772.679863543755	746.503200679804	3705.03999578359	170_770_3
19	Spectrogram 1	1	772.87595289327	773.250454741507	845.672031800601	3738.09627282386	170_770_4
20	Spectrogram 1	1	773.415381424548	773.734163455341	829.143893280468	3638.92744170306	170_770_5
21	Spectrogram 1	1	773.970937863725	774.337803064792	812.615754760335	3804.20882690439	170_770_6
22	Spectrogram 1	1	989.766045729439	989.935142308782	713.446923639538	3324.89280982053	170_990_1
23	Spectrogram 1	1	990.299908682815	990.690869320041	763.031339199937	3556.28674910239	170_990_2
24	Spectrogram 1	1	990.84275317708	991.231460632689	763.031339199937	3308.3646713004	170_990_3
25	Spectrogram 1	1	991.398248226559	991.778985328134	647.334369559006	3225.72397869974	170_990_4
26	Spectrogram 1	1	1093.24442098785	1093.6187889203	763.031339199937	3539.75861058226	170_1090_1
27	Spectrogram 1	1	1093.77781227261	1094.14201594215	779.55947772007	3671.98371874332	170_1090_2
28	Spectrogram 1	1	1094.32205550089	1094.68907504512	680.390646599272	3374.47722538093	170_1090_3
29	Spectrogram 1	1	1094.93735674967	1095.33069494054	961.369001441531	3391.00536390107	170_1090_4
30	Spectrogram 1	1	1373.67229057071	1374.00163721944	581.221815478475	2928.21748533734	170_1370_1
31	Spectrogram 1	1	1374.18817134461	1374.48941992507	581.221815478475	3126.55514757894	170_1370_2
32	Spectrogram 1	1	1374.70255055583	1374.95142409928	647.334369559006	2630.71099197495	170_1370_3
33	Spectrogram 1	1	1375.20449390209	1375.45313638207	647.334369559006	2779.46423865615	170_1375_1
34	Spectrogram 1	1	1375.67596190608	1376.07571923389	779.55947772007	2729.87982309575	170_1375_2
35	Spectrogram 1	1	1376.33784363916	1376.67682879106	862.200170320734	3986.01835062585	170_1375_3
36	Spectrogram 1	1	1376.92640876483	1377.18704333206	829.143893280468	2928.21748533734	170_1375_4
37	Spectrogram 1	1	1377.48906892342	1377.75360939284	713.446923639538	2680.29540753535	170_1375_5
38	Spectrogram 1	1	1377.99594920391	1378.29766821897	581.221815478475	2548.07029937429	170_1375_6
39	Spectrogram 1	1	1378.60171729031	1378.88386220551	482.052984357678	2333.20449861256	170_1375_7
40	Spectrogram 1	1	1379.16030646241	1379.44363904272	432.468568797279	2101.8105593307	170_1375_8
