Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	34.3021665610332	34.6242331344604	696.918785119405	2779.46423865615	175_30_1
2	Spectrogram 1	1	35.5053229802436	35.873169760145	614.278092518741	2944.74562385748	175_35_1
3	Spectrogram 1	1	36.7917412736435	37.1728038441569	696.918785119405	3110.02700905881	175_35_2
4	Spectrogram 1	1	37.9570424122112	38.3554270854838	746.503200679804	3159.6114246192	175_35_3
5	Spectrogram 1	1	38.7226026112217	39.0613942231355	630.806231038874	2994.33003941788	175_35_4
6	Spectrogram 1	1	39.5291024078253	40.0625131791165	713.446923639538	3225.72397869974	175_35_5
7	Spectrogram 1	1	40.4179452096644	40.7484142952133	1060.53783256233	2911.68934681721	175_40_1
8	Spectrogram 1	1	41.1460495745515	41.519926439267	994.425278481797	2878.63306977695	175_40_2
9	Spectrogram 1	1	41.8372674682725	42.3107908245923	796.087616240203	2812.52051569641	175_40_3
10	Spectrogram 1	1	42.4750901974257	42.9565488572132	779.55947772007	3176.13956313934	175_40_4
11	Spectrogram 1	1	50.7448514992315	51.0188173191885	763.031339199937	3209.1958401796	175_50_1
12	Spectrogram 1	1	75.9487048662512	76.2668729620261	763.031339199937	3043.91445497827	175_75_1
13	Spectrogram 1	1	3066.09776062422	3066.39772051593	448.996707317412	2531.54216085416	175_3065_1
14	Spectrogram 1	1	3066.57183613509	3066.85437004454	382.88415323688	2432.37332973336	175_3065_2
15	Spectrogram 1	1	3067.04904498469	3067.31457786533	432.468568797279	2448.90146825349	175_3065_3
16	Spectrogram 1	1	3067.52866424945	3067.84128525171	498.58112287781	2349.73263713269	175_3065_4
17	Spectrogram 1	1	3068.01964880855	3068.29838882688	564.693676958342	2399.31705269309	175_3065_5
18	Spectrogram 1	1	3695.78421341681	3696.02243661799	482.052984357678	2746.40796161588	175_3695_1
19	Spectrogram 1	1	3698.22217647529	3698.44446984188	581.221815478475	2878.63306977695	175_3695_2
20	Spectrogram 1	1	3701.79281073268	3702.01153457865	498.58112287781	2911.68934681721	175_3700_1
21	Spectrogram 1	1	3718.24003227779	3718.47068939611	498.58112287781	2564.59843789442	175_3715_1
22	Spectrogram 1	1	3723.55108675631	3723.79663303407	515.109261397944	2564.59843789442	175_3720_1
23	Spectrogram 1	1	3793.35463344638	3793.62875379945	531.637399918076	2977.80190089774	175_3790_1
24	Spectrogram 1	1	3797.529632901	3797.80490738239	432.468568797279	2928.21748533734	175_3795_1
25	Spectrogram 1	1	8456.77623753617	8457.10003070934	763.031339199937	3010.85817793801	175_8455_1
26	Spectrogram 1	1	8460.78886365998	8461.09714457603	729.975062159671	2779.46423865615	175_8460_1
27	Spectrogram 1	1	8461.59641282322	8461.92575947194	779.55947772007	2878.63306977695	175_8460_2
28	Spectrogram 1	1	8462.22357159202	8462.52589299504	729.975062159671	2829.04865421655	175_8460_3
29	Spectrogram 1	1	8463.20995096428	8463.48846391099	680.390646599272	2581.12657641455	175_8460_4
30	Spectrogram 1	1	8467.17668707394	8467.50605139539	713.446923639538	2812.52051569641	175_8465_1
31	Spectrogram 1	1	8468.39793964272	8468.70947251453	647.334369559006	2795.99237717628	175_8465_2
32	Spectrogram 1	1	11451.701602465	11451.9571929519	283.715322116083	2597.65471493469	175_11450_1
33	Spectrogram 1	1	11452.7717347926	11453.0217278266	283.715322116083	2614.18285345482	175_11450_2
34	Spectrogram 1	1	15777.6798788138	15777.8328066752	763.031339199937	2300.14822157229	175_15775_1
35	Spectrogram 1	1	15778.0508782392	15778.1966375727	729.975062159671	2250.5638060119	175_15775_2
36	Spectrogram 1	1	15778.4116901643	15778.566689221	763.031339199937	2382.78891417296	175_15775_3
37	Spectrogram 1	1	15778.8179458648	15779.0028625382	763.031339199937	2432.37332973336	175_15775_4
38	Spectrogram 1	1	15779.2432968805	15779.4691255321	763.031339199937	2481.95774529376	175_15775_5
