Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	6898.34500317368	6898.62881273279	399.412291757013	1440.68501852539	208_6895_1
2	Spectrogram 1	1	6909.29026783602	6909.61264894307	465.524845837545	1936.52917412937	208_6905_1
3	Spectrogram 1	1	7591.10173893222	7591.28524740971	482.052984357678	1804.30406596831	208_7590_1
4	Spectrogram 1	1	7591.53552701293	7591.72223936612	531.637399918076	2019.16986673004	208_7590_2
5	Spectrogram 1	1	7591.91373466716	7592.08442482655	415.940430277146	1903.47289708911	208_7590_3
6	Spectrogram 1	1	7600.48320131764	7600.78867118902	531.637399918076	1721.66337336764	208_7600_1
7	Spectrogram 1	1	7807.55518839561	7807.96246176102	366.356014716747	1853.88848152871	208_7805_1
8	Spectrogram 1	1	7815.57300572044	7816.09337208062	432.468568797279	1886.94475856897	208_7815_1
9	Spectrogram 1	1	7816.674752669	7816.97517013982	382.88415323688	1738.19151188778	208_7815_2
10	Spectrogram 1	1	7824.07147877458	7824.44873940777	515.109261397944	1886.94475856897	208_7820_1
11	Spectrogram 1	1	7826.44723470836	7826.87899991002	349.827876196615	2217.50752897163	208_7825_1
12	Spectrogram 1	1	7827.60052124159	7827.95770731648	399.412291757013	2019.16986673004	208_7825_2
13	Spectrogram 1	1	7829.58788155486	7829.87875419013	498.58112287781	1837.36034300857	208_7825_3
14	Spectrogram 1	1	7955.06107443662	7955.32844967483	432.468568797279	2035.69800525017	208_7955_1
15	Spectrogram 1	1	7972.41425158896	7972.82292316966	399.412291757013	2167.92311341123	208_7970_1
16	Spectrogram 1	1	7976.15389682543	7976.47418231072	515.109261397944	2068.75428229043	208_7975_1
17	Spectrogram 1	1	7977.33335622906	7977.67863820323	465.524845837545	2200.9793904515	208_7975_2
18	Spectrogram 1	1	7980.00862282138	7980.56449902834	399.412291757013	2052.2261437703	208_7980_1
19	Spectrogram 1	1	7982.98607464553	7983.38297127439	465.524845837545	2200.9793904515	208_7980_2
20	Spectrogram 1	1	7992.54102316515	7993.03520960731	465.524845837545	2366.26077565283	208_7990_1
21	Spectrogram 1	1	8007.30022575045	8007.62175170059	399.412291757013	2101.8105593307	208_8005_1
22	Spectrogram 1	1	8015.81768006477	8016.1996098535	316.771599156349	2481.95774529376	208_8015_1
23	Spectrogram 1	1	8030.68085537686	8030.9417770683	597.749953998608	1473.74129556565	208_8030_1
24	Spectrogram 1	1	8037.48205470364	8037.8993495389	366.356014716747	2068.75428229043	208_8035_1
25	Spectrogram 1	1	8039.36497659517	8039.74039512358	465.524845837545	2101.8105593307	208_8035_2
26	Spectrogram 1	1	8040.45929221008	8040.80049191341	432.468568797279	2167.92311341123	208_8040_1
27	Spectrogram 1	1	8043.57129161662	8043.85969593882	432.468568797279	2267.09194453203	208_8040_2
28	Spectrogram 1	1	8045.59851662436	8045.95537818358	382.88415323688	2002.6417282099	208_8045_1
29	Spectrogram 1	1	8046.48186246261	8046.83871499633	349.827876196615	1886.94475856897	208_8045_2
30	Spectrogram 1	1	8229.76961284594	8229.99484838594	415.940430277146	1936.52917412937	208_8230_1
31	Spectrogram 1	1	8232.29741577139	8232.55253587754	448.996707317412	1639.02268076698	208_8230_2
32	Spectrogram 1	1	8233.55457729185	8233.8499847046	465.524845837545	1820.83220448844	208_8230_3
33	Spectrogram 1	1	8236.63632579301	8236.959300472	482.052984357678	1953.0573126495	208_8235_1
34	Spectrogram 1	1	8239.32409193658	8239.6606130997	448.996707317412	1721.66337336764	208_8235_2
35	Spectrogram 1	1	8243.723958663	8244.06178034416	482.052984357678	1655.55081928711	208_8240_1
36	Spectrogram 1	1	8247.58150736365	8247.90322457743	432.468568797279	1820.83220448844	208_8245_1
37	Spectrogram 1	1	8250.26039460992	8250.65227306887	564.693676958342	1870.41662004884	208_8250_1
38	Spectrogram 1	1	8251.48830261222	8251.7683918685	482.052984357678	1853.88848152871	208_8250_2
39	Spectrogram 1	1	8252.50382883584	8252.86603569838	482.052984357678	2167.92311341123	208_8250_3
40	Spectrogram 1	1	8253.67298631419	8254.06360540869	465.524845837545	2200.9793904515	208_8250_4
41	Spectrogram 1	1	8298.98978799223	8299.37803370764	465.524845837545	2035.69800525017	208_8295_1
42	Spectrogram 1	1	14170.0629317475	14170.373267288	548.165538438209	2795.99237717628	208_14170_1
43	Spectrogram 1	1	14180.3938248077	14180.635919861	564.693676958342	2498.48588381389	208_14180_1
44	Spectrogram 1	1	14181.1809372286	14181.5972915356	564.693676958342	2415.84519121323	208_14180_2
45	Spectrogram 1	1	14182.0840743428	14182.3287050907	482.052984357678	2068.75428229043	208_14180_3
46	Spectrogram 1	1	14182.977669397	14183.4014973273	482.052984357678	2134.86683637097	208_14180_4
47	Spectrogram 1	1	14183.8558597941	14183.9504462037	564.693676958342	2134.86683637097	208_14180_5
48	Spectrogram 1	1	14185.0294863156	14185.2799100371	564.693676958342	2515.01402233402	208_14185_1
49	Spectrogram 1	1	14185.470695582	14185.6719675961	614.278092518741	2845.57679273668	208_14185_2
50	Spectrogram 1	1	14185.8795921405	14186.1609824573	647.334369559006	2647.23913049509	208_14185_3
51	Spectrogram 1	1	14186.4596310775	14186.6037756584	581.221815478475	2614.18285345482	208_14185_4
52	Spectrogram 1	1	14187.0528451849	14187.2566135644	647.334369559006	2762.93610013602	208_14185_5
53	Spectrogram 1	1	14187.542833807	14187.7012092555	382.88415323688	2498.48588381389	208_14185_6
54	Spectrogram 1	1	14187.9617469989	14188.1800105161	415.940430277146	2614.18285345482	208_14185_7
55	Spectrogram 1	1	14188.4257392962	14188.5399870306	498.58112287781	2614.18285345482	208_14185_8
56	Spectrogram 1	1	18905.2734929894	18905.4996097952	482.052984357678	1986.11358968977	208_18905_1
57	Spectrogram 1	1	18908.578900744	18908.9035901326	448.996707317412	2118.33869785083	208_18905_2
58	Spectrogram 1	1	18909.8562136972	18910.0068932461	597.749953998608	1721.66337336764	208_18910_1
59	Spectrogram 1	1	18910.8649342575	18911.1428789991	333.299737676482	1804.30406596831	208_18910_2
60	Spectrogram 1	1	18912.4315421107	18912.6630944966	316.771599156349	1837.36034300857	208_18910_3
