Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	10863.8381260313	10863.933347632	0.574630675418847	1.48513702731491	1589.0
2	Spectrogram 1	1	10864.7624362853	10864.8865483291	0.615097624392005	1.28280228244912	1590.0
3	Spectrogram 1	1	10865.5925300384	10865.7120343466	0.554397200932268	1.26256880796254	1591.0
4	Spectrogram 1	1	11773.4866338427	11773.9543249122	0.716264996824901	2.57774464959018	1592.0
5	Spectrogram 1	1	11807.4173642122	11807.9269823219	0.73649847131148	2.47657727715728	1593.0
6	Spectrogram 1	1	11808.1816841175	11808.6802778446	0.797198894771217	2.63844507304992	1594.0
7	Spectrogram 1	1	11846.9378689632	11847.268919399	0.635331098878584	2.21354210883176	1595.0
8	Spectrogram 1	1	11847.5029285142	11847.8487568201	0.655564573365163	2.1730751598586	1596.0
9	Spectrogram 1	1	12184.5919974085	12184.8138437917	0.534163726445688	2.39564337921097	1597.0
10	Spectrogram 1	1	12185.1291582663	12185.3628531055	0.574630675418847	2.37540990472439	1598.0
11	Spectrogram 1	1	12185.6734978132	12185.8997233352	0.675798047851742	2.45634380267071	1599.0
