Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	11385.9291474879	11386.3733758019	0.311595507093318	3.10381498624124	1.0
2	Spectrogram 1	1	11576.4614482671	11576.6867463751	0.574630675418847	2.5575111751036	2.0
3	Spectrogram 1	1	11583.6357486636	11584.0911814868	0.594864149905426	3.48825100148624	3.0
4	Spectrogram 1	1	11605.9425735802	11606.4047600303	0.513930251959109	3.40731710353992	4.0
5	Spectrogram 1	1	11627.6510445951	11628.102744683	0.574630675418847	3.24544930764729	5.0
6	Spectrogram 1	1	11628.3733921905	11628.8381497084	0.594864149905426	3.32638320559361	6.0
7	Spectrogram 1	1	11648.6674164209	11649.3548725014	0.534163726445688	3.4275505780265	7.0
8	Spectrogram 1	1	11649.8554593561	11650.454358151	0.372295930553055	2.90148024137545	8.0
9	Spectrogram 1	1	11655.6258867381	11656.2498298798	0.594864149905426	3.06334803726808	9.0
10	Spectrogram 1	1	11657.034259325	11657.689869592	0.473463302985951	3.08358151175466	10.0
11	Spectrogram 1	1	11670.5867386554	11671.1841953702	0.534163726445688	2.75984591996939	11.0
12	Spectrogram 1	1	11671.8205977482	11672.4543228429	0.49369677747253	3.08358151175466	12.0
13	Spectrogram 1	1	11694.1756598072	11694.7117194938	0.635331098878584	2.13260821088544	13.0
14	Spectrogram 1	1	11695.2618115386	11695.6892309715	0.453229828499372	2.35517643023781	14.0
15	Spectrogram 1	1	11706.7256532733	11707.3640128842	0.432996354012793	2.37540990472439	15.0
16	Spectrogram 1	1	11723.8381627363	11724.4221525057	0.453229828499372	2.73961244548281	16.0
17	Spectrogram 1	1	11731.6289339549	11732.1990531787	0.432996354012793	2.53727770061702	17.0
18	Spectrogram 1	1	11773.9648967579	11774.3205720207	0.594864149905426	2.27424253229149	18.0
19	Spectrogram 1	1	11774.6184892283	11774.9792265597	0.513930251959109	2.5575111751036	19.0
20	Spectrogram 1	1	11781.2271742931	11781.6757388032	0.432996354012793	3.18474888418755	20.0
21	Spectrogram 1	1	11782.0444223573	11782.5003189359	0.534163726445688	3.28591625662045	21.0
22	Spectrogram 1	1	11825.8128681817	11826.3975046615	0.49369677747253	3.18474888418755	22.0
23	Spectrogram 1	1	11827.2258264471	11827.7221039828	0.412762879526214	2.57774464959018	23.0
24	Spectrogram 1	1	11858.6476248414	11859.0740086227	0.392529405039635	3.26568278213387	24.0
25	Spectrogram 1	1	11859.4078994664	11859.8405403101	0.392529405039635	3.28591625662045	25.0
