Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	19190.492911145	19190.6694588465	0.594864149905426	2.37540990472439	2405.0
2	Spectrogram 1	1	19190.934594817	19191.1228886845	0.534163726445688	2.23377558331833	2406.0
3	Spectrogram 1	1	19191.3309759924	19191.5421210574	0.655564573365163	2.35517643023781	2407.0
4	Spectrogram 1	1	19191.7466053368	19191.9597330882	0.756731945798059	2.39564337921097	2408.0
5	Spectrogram 1	1	19192.1732269154	19192.3779191788	0.716264996824901	2.33494295575123	2409.0
6	Spectrogram 1	1	19192.5981933454	19192.8496457167	0.554397200932268	2.33494295575123	2410.0
7	Spectrogram 1	1	19193.0515359083	19193.2626772399	0.675798047851742	2.39564337921097	2411.0
8	Spectrogram 1	1	19369.2573838886	19369.7367668194	0.73649847131148	2.43611032818413	2412.0
9	Spectrogram 1	1	19370.0246244053	19370.5367879981	0.756731945798059	2.51704422613044	2413.0
10	Spectrogram 1	1	19370.850711862	19371.4033607867	0.817432369257796	2.33494295575123	2414.0
11	Spectrogram 1	1	19619.9521905612	19620.2550000281	0.513930251959109	2.80031286894255	2415.0
12	Spectrogram 1	1	19620.4475488948	19620.7733620165	0.473463302985951	2.78007939445597	2416.0
13	Spectrogram 1	1	19621.001504559	19621.3383921495	0.554397200932268	2.23377558331833	2417.0
14	Spectrogram 1	1	19621.5991152058	19621.9308130795	0.513930251959109	2.05167431293912	2418.0
15	Spectrogram 1	1	19656.8621597469	19657.1381032684	0.574630675418847	3.10381498624124	2419.0
16	Spectrogram 1	1	19657.3543623343	19657.6505363517	0.453229828499372	2.98241413932176	2420.0
17	Spectrogram 1	1	19657.9052248922	19658.2057690784	0.534163726445688	3.02288108829492	2421.0
18	Spectrogram 1	1	19658.4959828686	19658.7976055844	0.453229828499372	2.69914549650965	2422.0
19	Spectrogram 1	1	20734.5052890029	20734.8022104369	0.574630675418847	2.53727770061702	2423.0
20	Spectrogram 1	1	20735.0885072239	20735.3909884061	0.554397200932268	2.33494295575123	2424.0
21	Spectrogram 1	1	20735.6781182497	20735.9843558933	0.635331098878584	2.49681075164386	2425.0
22	Spectrogram 1	1	20736.3047041065	20736.6452538201	0.534163726445688	2.53727770061702	2426.0
23	Spectrogram 1	1	20737.0136444513	20737.3600235941	0.574630675418847	2.43611032818413	2427.0
24	Spectrogram 1	1	20780.9920536347	20781.297841002	0.635331098878584	2.49681075164386	2428.0
25	Spectrogram 1	1	20781.5852691385	20781.9121569109	0.675798047851742	2.15284168537202	2429.0
26	Spectrogram 1	1	20782.2162030296	20782.5529994012	0.635331098878584	2.25400905780491	2430.0
27	Spectrogram 1	1	20806.0680121311	20806.3894449826	0.615097624392005	2.1730751598586	2431.0
28	Spectrogram 1	1	20806.6940149919	20807.0306004803	0.635331098878584	2.25400905780491	2432.0
29	Spectrogram 1	1	20807.3715737426	20807.7162523571	0.594864149905426	2.11237473639886	2433.0
30	Spectrogram 1	1	22554.491886513	22555.2312056277	0.169961185687264	3.73105269532519	1129.0
31	Spectrogram 1	1	22555.8159418896	22556.5825641186	0.169961185687264	3.56918489943256	1130.0
32	Spectrogram 1	1	22581.6658991673	22582.3935765393	0.210428134660422	3.65011879737887	1131.0
