Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	9764.24298687218	9764.55557159476	465.524845837545	2448.90146825349	28_9760_1
2	Spectrogram 1	1	9764.73323836687	9765.01380711115	498.58112287781	2696.82354605548	28_9760_2
3	Spectrogram 1	1	9765.17378196371	9765.45172670536	415.940430277146	2515.01402233402	28_9765_1
4	Spectrogram 1	1	9765.77644368529	9766.0237318949	581.221815478475	2597.65471493469	28_9765_2
5	Spectrogram 1	1	9766.28357737154	9766.50434691771	696.918785119405	2713.35168457562	28_9765_3
6	Spectrogram 1	1	9782.68382927186	9783.55199662528	498.58112287781	2911.68934681721	28_9780_1
7	Spectrogram 1	1	10023.2041734324	10023.4991198176	581.221815478475	2597.65471493469	28_10020_1
8	Spectrogram 1	1	10023.8148879518	10024.1238958018	647.334369559006	2647.23913049509	28_10020_2
9	Spectrogram 1	1	10024.4595193959	10024.7741305958	630.806231038874	2647.23913049509	28_10020_3
10	Spectrogram 1	1	10118.0108403057	10118.2397189824	498.58112287781	2415.84519121323	28_10115_1
11	Spectrogram 1	1	10431.2687543907	10431.5959342661	581.221815478475	2680.29540753535	28_10430_1
12	Spectrogram 1	1	10431.8963635405	10432.2204468329	581.221815478475	2878.63306977695	28_10430_2
13	Spectrogram 1	1	10432.5595576507	10432.8840333224	647.334369559006	2961.27376237761	28_10430_3
14	Spectrogram 1	1	11551.1882975167	11551.4740054272	465.524845837545	2432.37332973336	28_11550_1
15	Spectrogram 1	1	11551.6891480996	11551.933080787	581.221815478475	2515.01402233402	28_11550_2
16	Spectrogram 1	1	11603.9417128127	11604.3953819452	597.749953998608	2878.63306977695	28_11600_1
17	Spectrogram 1	1	11604.9249305641	11605.2601688131	597.749953998608	2729.87982309575	28_11605_1
18	Spectrogram 1	1	11605.9453668675	11606.4147131237	597.749953998608	2713.35168457562	28_11605_2
19	Spectrogram 1	1	15273.9239029685	15274.8074170788	432.468568797279	3159.6114246192	28_15270_1
20	Spectrogram 1	1	15385.5911311627	15385.9551114382	564.693676958342	2498.48588381389	28_15385_1
21	Spectrogram 1	1	15386.2224291638	15386.5417537814	630.806231038874	2729.87982309575	28_15385_2
22	Spectrogram 1	1	15386.7175247435	15387.0323640221	564.693676958342	2696.82354605548	28_15385_3
23	Spectrogram 1	1	15387.2328438711	15387.5443767429	465.524845837545	2415.84519121323	28_15385_4
24	Spectrogram 1	1	15387.7722181244	15388.1090668898	614.278092518741	2498.48588381389	28_15385_5
25	Spectrogram 1	1	15388.2983827336	15388.5933795722	729.975062159671	2994.33003941788	28_15385_6
26	Spectrogram 1	1	15388.8286793169	15389.1174745538	597.749953998608	2531.54216085416	28_15385_7
27	Spectrogram 1	1	16015.9105133394	16016.2481361701	234.130906555684	2448.90146825349	28_16015_1
28	Spectrogram 1	1	16018.7860459997	16019.1867400098	333.299737676482	2597.65471493469	28_16015_2
29	Spectrogram 1	1	16185.0125296409	16185.2139428764	630.806231038874	2300.14822157229	28_16185_1
30	Spectrogram 1	1	16242.1633846069	16242.5021997285	201.074629515419	2498.48588381389	28_16240_1
