Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	9203.07495549143	9203.30306233104	0.655564573365163	2.31470948126465	2434.0
2	Spectrogram 1	1	9203.45251974958	9203.72789855096	0.655564573365163	2.19330863434518	2435.0
3	Spectrogram 1	1	9203.87278691198	9204.17143185678	0.615097624392005	2.21354210883176	2436.0
4	Spectrogram 1	1	9204.34820393059	9204.65572264732	0.594864149905426	2.13260821088544	2437.0
5	Spectrogram 1	1	9204.87246470422	9205.18854075501	0.635331098878584	2.23377558331833	2438.0
6	Spectrogram 1	1	9422.11859497381	9422.35422005336	0.696031522338321	2.19330863434518	2439.0
7	Spectrogram 1	1	9422.50055162713	9422.78282898098	0.574630675418847	2.1730751598586	2440.0
8	Spectrogram 1	1	9422.93593829869	9423.23647278761	0.594864149905426	2.25400905780491	2441.0
9	Spectrogram 1	1	9423.41811909084	9423.73447802697	0.675798047851742	2.25400905780491	2442.0
10	Spectrogram 1	1	9470.02081765092	9470.25789756243	0.655564573365163	2.19330863434518	2443.0
11	Spectrogram 1	1	9470.40328755576	9470.67196680866	0.696031522338321	2.1730751598586	2444.0
12	Spectrogram 1	1	9470.82647309532	9471.13681853205	0.655564573365163	2.13260821088544	2445.0
13	Spectrogram 1	1	9471.33280650495	9471.64450816863	0.675798047851742	2.13260821088544	2446.0
14	Spectrogram 1	1	9615.5543993841	9615.78468663725	0.716264996824901	2.1730751598586	2447.0
15	Spectrogram 1	1	9615.95428991464	9616.22895763184	0.635331098878584	2.25400905780491	2448.0
16	Spectrogram 1	1	9616.38403293733	9616.68824797415	0.716264996824901	2.13260821088544	2449.0
17	Spectrogram 1	1	9616.87625861553	9617.18880525028	0.655564573365163	2.11237473639886	2450.0
18	Spectrogram 1	1	9751.8753381792	9752.10519047776	0.716264996824901	2.19330863434518	2451.0
19	Spectrogram 1	1	9752.26314777262	9752.54189989642	0.655564573365163	2.15284168537202	2452.0
20	Spectrogram 1	1	9752.69202770225	9752.99807469761	0.73649847131148	2.13260821088544	2453.0
21	Spectrogram 1	1	9753.19234681153	9753.50132910392	0.594864149905426	1.97074041499281	2454.0
22	Spectrogram 1	1	9880.42802536936	9880.66090709305	0.696031522338321	2.27424253229149	2455.0
23	Spectrogram 1	1	9880.82511570178	9881.10425028566	0.675798047851742	2.11237473639886	2456.0
24	Spectrogram 1	1	9881.26196269783	9881.56848182063	0.716264996824901	2.09214126191228	2457.0
25	Spectrogram 1	1	9881.75932874472	9882.07998415044	0.675798047851742	2.15284168537202	2458.0
26	Spectrogram 1	1	9950.75144559516	9950.98676569577	0.73649847131148	2.29447600677807	2459.0
27	Spectrogram 1	1	9951.14415120482	9951.4265128279	0.73649847131148	2.25400905780491	2460.0
28	Spectrogram 1	1	9951.58520455455	9951.89150838194	0.635331098878584	2.15284168537202	2461.0
29	Spectrogram 1	1	9952.09656586626	9952.41162123157	0.635331098878584	2.09214126191228	2462.0
30	Spectrogram 1	1	10285.4622792738	10285.6333707291	0.594864149905426	1.34350270590885	2463.0
31	Spectrogram 1	1	10286.3122634896	10286.4894690534	0.534163726445688	1.3030357569357	2464.0
32	Spectrogram 1	1	10287.1822672339	10287.3709926943	0.453229828499372	1.3030357569357	2465.0
