Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	2925.18782458455	2925.60141188114	0.554397200932268	2.33494295575123	813.0
2	Spectrogram 1	1	2926.11408150986	2926.55984168441	0.49369677747253	2.43611032818413	814.0
3	Spectrogram 1	1	2956.58486037357	2957.01858539554	0.554397200932268	3.81198659327151	815.0
4	Spectrogram 1	1	2957.39952030542	2957.82173843324	0.513930251959109	3.73105269532519	816.0
5	Spectrogram 1	1	2958.39271371113	2958.82815957312	0.574630675418847	3.48825100148624	817.0
6	Spectrogram 1	1	2967.97055854369	2968.39944382304	0.513930251959109	3.4275505780265	818.0
7	Spectrogram 1	1	2968.8322711095	2969.26739692544	0.594864149905426	3.56918489943256	819.0
8	Spectrogram 1	1	2969.66796649913	2970.09074965417	0.635331098878584	3.34661668008019	820.0
9	Spectrogram 1	1	2987.93915945619	2988.3522271047	0.513930251959109	3.69058574635203	821.0
10	Spectrogram 1	1	2988.76955253492	2989.19665066517	0.513930251959109	3.56918489943256	822.0
11	Spectrogram 1	1	3020.2521574843	3020.65074913455	0.655564573365163	3.71081922083861	823.0
12	Spectrogram 1	1	3029.47436128379	3029.89492219776	0.675798047851742	3.81198659327151	824.0
13	Spectrogram 1	1	3094.94525733255	3095.34584689385	0.574630675418847	3.79175311878493	825.0
14	Spectrogram 1	1	3096.0664352815	3096.49315233353	0.534163726445688	3.5287179504594	826.0
15	Spectrogram 1	1	3154.40624109571	3154.83682131936	0.594864149905426	3.85245354224466	827.0
16	Spectrogram 1	1	3155.1919560743	3155.618033612	0.513930251959109	3.79175311878493	828.0
17	Spectrogram 1	1	3166.26457245499	3166.68759371826	0.534163726445688	3.83222006775809	829.0
18	Spectrogram 1	1	3167.10498612702	3167.52810719129	0.594864149905426	3.71081922083861	830.0
19	Spectrogram 1	1	3169.77709162289	3170.19769240473	0.453229828499372	2.37540990472439	831.0
20	Spectrogram 1	1	3173.34379187581	3173.75616348303	0.594864149905426	3.77151964429835	832.0
21	Spectrogram 1	1	3179.11219621746	3179.51639397295	0.432996354012793	3.87268701673124	833.0
22	Spectrogram 1	1	3181.70542426613	3182.13355498524	0.534163726445688	3.93338744019098	834.0
23	Spectrogram 1	1	3189.64364995507	3190.0616138368	0.574630675418847	3.83222006775809	835.0
24	Spectrogram 1	1	3190.5231218122	3190.92523568636	0.716264996824901	3.54895142494598	836.0
25	Spectrogram 1	1	3198.13557666535	3198.56412235866	0.574630675418847	3.75128616981177	837.0
26	Spectrogram 1	1	3205.05231986528	3205.46634356297	0.574630675418847	3.58941837391914	838.0
27	Spectrogram 1	1	3205.89119178663	3206.31502130874	0.513930251959109	3.60965184840572	839.0
28	Spectrogram 1	1	3209.87249698845	3210.30870333006	0.473463302985951	3.75128616981177	840.0
29	Spectrogram 1	1	3215.9969832713	3216.4060003001	0.594864149905426	3.65011879737887	841.0
30	Spectrogram 1	1	3217.04373380294	3217.44282047829	0.615097624392005	3.79175311878493	842.0
31	Spectrogram 1	1	3219.12558462883	3219.55268275907	0.513930251959109	3.69058574635203	843.0
32	Spectrogram 1	1	3219.94661977948	3220.37513482539	0.594864149905426	3.44778405251308	844.0
33	Spectrogram 1	1	3233.67504225494	3234.09124502472	0.554397200932268	3.67035227186545	845.0
34	Spectrogram 1	1	3234.5054436247	3234.92997238416	0.554397200932268	3.67035227186545	846.0
35	Spectrogram 1	1	3236.15491230807	3236.57615862867	0.49369677747253	3.56918489943256	847.0
36	Spectrogram 1	1	3243.87743291422	3244.29496039485	0.513930251959109	3.48825100148624	848.0
37	Spectrogram 1	1	3244.7287659809	3245.14914871977	0.513930251959109	3.65011879737887	849.0
38	Spectrogram 1	1	3254.33392456299	3254.74625766399	0.49369677747253	3.67035227186545	850.0
39	Spectrogram 1	1	3255.34084683965	3255.77096787362	0.574630675418847	3.73105269532519	851.0
40	Spectrogram 1	1	3284.13670371924	3284.55399602507	0.49369677747253	3.65011879737887	852.0
41	Spectrogram 1	1	3284.93344448037	3285.35734022266	0.574630675418847	3.56918489943256	853.0
42	Spectrogram 1	1	3285.79101534489	3286.24150552136	0.534163726445688	3.32638320559361	854.0
43	Spectrogram 1	1	3293.92580125462	3294.33915798664	0.513930251959109	3.69058574635203	855.0
44	Spectrogram 1	1	3294.74356967678	3295.15733053822	0.49369677747253	3.81198659327151	856.0
45	Spectrogram 1	1	3308.83678613392	3309.24171838439	0.513930251959109	3.65011879737887	857.0
46	Spectrogram 1	1	3309.68837995452	3310.10893793507	0.473463302985951	3.77151964429835	858.0
47	Spectrogram 1	1	3310.52910652728	3310.96290003618	0.49369677747253	3.73105269532519	859.0
48	Spectrogram 1	1	3314.60817968732	3315.01471960267	0.392529405039635	3.81198659327151	860.0
49	Spectrogram 1	1	3323.88402722106	3324.26403535868	0.473463302985951	3.56918489943256	861.0
50	Spectrogram 1	1	3324.70601336212	3325.11483508399	0.574630675418847	3.71081922083861	862.0
51	Spectrogram 1	1	3337.14560135894	3337.56329779419	0.49369677747253	3.60965184840572	863.0
