Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	787.189189661665	787.763844065011	482.052984357678	2762.93610013602	459_785_1
2	Spectrogram 1	1	788.03051289304	788.608707634407	548.165538438209	2746.40796161588	459_785_2
3	Spectrogram 1	1	797.776202432322	798.378052811766	482.052984357678	2845.57679273668	459_795_1
4	Spectrogram 1	1	798.680590217446	799.257123022394	498.58112287781	2862.10493125681	459_795_2
5	Spectrogram 1	1	5919.97717778491	5920.16101481267	432.468568797279	2548.07029937429	459_5920_1
6	Spectrogram 1	1	5920.49425404678	5920.64429333856	349.827876196615	2333.20449861256	459_5920_2
7	Spectrogram 1	1	7795.12083497962	7795.32536892753	680.390646599272	2614.18285345482	459_7795_1
8	Spectrogram 1	1	7795.71286856641	7796.01233808947	548.165538438209	2597.65471493469	459_7795_2
9	Spectrogram 1	1	7801.19351291642	7801.37623463033	663.862508079139	2382.78891417296	459_7800_1
10	Spectrogram 1	1	7801.84373202341	7802.12350160841	465.524845837545	2614.18285345482	459_7800_2
11	Spectrogram 1	1	7802.22168627774	7802.41810924285	614.278092518741	2762.93610013602	459_7800_3
12	Spectrogram 1	1	8625.83487135472	8626.30298635302	597.749953998608	3076.97073201854	459_8625_1
13	Spectrogram 1	1	11137.0122986159	11137.1892844263	597.749953998608	2878.63306977695	459_11135_1
14	Spectrogram 1	1	11137.6538314708	11137.9259866938	548.165538438209	2548.07029937429	459_11135_2
15	Spectrogram 1	1	11140.0634079552	11140.3550902324	366.356014716747	2548.07029937429	459_11140_1
16	Spectrogram 1	1	11140.7312922878	11140.9958327572	448.996707317412	2498.48588381389	459_11140_2
17	Spectrogram 1	1	11141.3178766527	11141.5037901489	630.806231038874	2713.35168457562	459_11140_3
18	Spectrogram 1	1	11141.9057269025	11142.2676674537	531.637399918076	2680.29540753535	459_11140_4
19	Spectrogram 1	1	11142.5892005309	11142.7005631489	729.975062159671	2630.71099197495	459_11140_5
20	Spectrogram 1	1	11143.2026191118	11143.3538573918	696.918785119405	2630.71099197495	459_11140_6
21	Spectrogram 1	1	11143.7995535653	11143.9254621889	746.503200679804	2779.46423865615	459_11140_7
22	Spectrogram 1	1	11144.4562500061	11144.6586913964	696.918785119405	2795.99237717628	459_11140_8
23	Spectrogram 1	1	11145.1191807445	11145.3603538332	531.637399918076	2531.54216085416	459_11145_1
24	Spectrogram 1	1	11145.7888842325	11145.9802048673	696.918785119405	2366.26077565283	459_11145_2
25	Spectrogram 1	1	11146.4054547423	11146.6688816633	581.221815478475	2382.78891417296	459_11145_3
26	Spectrogram 1	1	11147.1050478581	11147.3393776958	663.862508079139	2531.54216085416	459_11145_4
27	Spectrogram 1	1	11147.7328457867	11147.8626151041	680.390646599272	2614.18285345482	459_11145_5
28	Spectrogram 1	1	11148.8144551362	11149.0083302999	531.637399918076	2663.76726901522	459_11145_6
29	Spectrogram 1	1	11149.4319522331	11149.6926544367	564.693676958342	2630.71099197495	459_11145_7
30	Spectrogram 1	1	11150.057555158	11150.1714443055	630.806231038874	2267.09194453203	459_11150_1
31	Spectrogram 1	1	11151.4806220876	11151.573427861	829.143893280468	2448.90146825349	459_11150_2
32	Spectrogram 1	1	11152.5834312565	11152.6943340805	729.975062159671	2548.07029937429	459_11150_3
33	Spectrogram 1	1	11153.2272556131	11153.380499932	928.312724401265	2548.07029937429	459_11150_4
34	Spectrogram 1	1	11154.2676949754	11154.4129359757	663.862508079139	2630.71099197495	459_11150_5
35	Spectrogram 1	1	11156.9385585897	11157.2221451509	515.109261397944	2647.23913049509	459_11155_1
36	Spectrogram 1	1	11157.6029651786	11157.8902456855	696.918785119405	2564.59843789442	459_11155_2
37	Spectrogram 1	1	11158.3092533545	11158.5508416032	663.862508079139	2630.71099197495	459_11155_3
38	Spectrogram 1	1	11162.1314175696	11162.4460287696	614.278092518741	2696.82354605548	459_11160_1
39	Spectrogram 1	1	11162.8069609306	11163.0623480369	614.278092518741	2680.29540753535	459_11160_2
40	Spectrogram 1	1	11163.5266148485	11163.7622212527	614.278092518741	2696.82354605548	459_11160_3
41	Spectrogram 1	1	11164.2438004821	11164.4052546083	515.109261397944	2481.95774529376	459_11160_4
42	Spectrogram 1	1	12780.4613868632	12780.7075511878	614.278092518741	2118.33869785083	459_12780_1
43	Spectrogram 1	1	12780.955566321	12781.1296615251	515.109261397944	2498.48588381389	459_12780_2
44	Spectrogram 1	1	12795.2789235465	12795.5813089087	680.390646599272	2614.18285345482	459_12795_1
45	Spectrogram 1	1	12795.8666281343	12795.9913891826	713.446923639538	2829.04865421655	459_12795_2
46	Spectrogram 1	1	12796.3708132101	12796.5384246917	283.715322116083	2200.9793904515	459_12795_3
47	Spectrogram 1	1	12796.8311438721	12796.9539648558	614.278092518741	2531.54216085416	459_12795_4
48	Spectrogram 1	1	12797.2947028534	12797.4036377661	647.334369559006	2366.26077565283	459_12795_5
49	Spectrogram 1	1	12797.8227398685	12797.9417741872	614.278092518741	2564.59843789442	459_12795_6
50	Spectrogram 1	1	12798.3314195504	12798.4091409186	614.278092518741	2432.37332973336	459_12795_7
51	Spectrogram 1	1	12798.8045056706	12798.9356934781	564.693676958342	2762.93610013602	459_12795_8
52	Spectrogram 1	1	12799.291128245	12799.4788371298	614.278092518741	2746.40796161588	459_12795_9
53	Spectrogram 1	1	12800.9443566249	12801.0782001664	696.918785119405	2680.29540753535	459_12800_1
54	Spectrogram 1	1	12801.4028952214	12801.5984906477	647.334369559006	2597.65471493469	459_12800_2
55	Spectrogram 1	1	12801.8692638995	12802.0612403967	713.446923639538	2713.35168457562	459_12800_3
56	Spectrogram 1	1	12802.3936664025	12802.5490717599	763.031339199937	2795.99237717628	459_12800_4
57	Spectrogram 1	1	12802.8771454163	12803.0595482755	729.975062159671	2614.18285345482	459_12800_5
