Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	191.70800755384	191.963405516516	779.55947772007	2597.65471493469	473_190_1
2	Spectrogram 1	1	192.345671665205	192.58217842913	895.256447361	2779.46423865615	473_190_2
3	Spectrogram 1	1	192.902853366847	193.121186588733	796.087616240203	2795.99237717628	473_190_3
4	Spectrogram 1	1	193.687412588165	193.92797225396	746.503200679804	2977.80190089774	473_190_4
5	Spectrogram 1	1	194.634285194129	194.849149484018	614.278092518741	2895.16120829708	473_190_5
6	Spectrogram 1	1	195.247417546579	195.487138572389	448.996707317412	2498.48588381389	473_195_1
7	Spectrogram 1	1	197.017289416864	197.26283569463	746.503200679804	2911.68934681721	473_195_2
8	Spectrogram 1	1	197.578820813421	197.828830002308	779.55947772007	2895.16120829708	473_195_3
9	Spectrogram 1	1	198.129439712533	198.371575645237	763.031339199937	2729.87982309575	473_195_4
10	Spectrogram 1	1	198.991095295862	199.222114601575	812.615754760335	2862.10493125681	473_195_5
11	Spectrogram 1	1	199.676564466204	199.867256621842	796.087616240203	2746.40796161588	473_195_6
12	Spectrogram 1	1	203.522274769428	203.793233337157	729.975062159671	2415.84519121323	473_200_1
13	Spectrogram 1	1	204.572350204197	204.810224893271	796.087616240203	2680.29540753535	473_200_2
14	Spectrogram 1	1	205.618761016264	205.898177236405	746.503200679804	2614.18285345482	473_205_1
15	Spectrogram 1	1	206.314616175592	206.682566709929	597.749953998608	2663.76726901522	473_205_2
16	Spectrogram 1	1	207.377800580206	207.588682554213	779.55947772007	2779.46423865615	473_205_3
17	Spectrogram 1	1	209.38381773006	209.623238744276	647.334369559006	2795.99237717628	473_205_4
18	Spectrogram 1	1	209.84523632777	210.100688362315	564.693676958342	2845.57679273668	473_205_5
19	Spectrogram 1	1	210.383253153294	210.585158067382	763.031339199937	2729.87982309575	473_210_1
20	Spectrogram 1	1	211.792968079506	211.959555159055	746.503200679804	2713.35168457562	473_210_2
21	Spectrogram 1	1	212.727498956847	212.921052777099	779.55947772007	2729.87982309575	473_210_3
22	Spectrogram 1	1	213.295729569145	213.46846056986	779.55947772007	2481.95774529376	473_210_4
23	Spectrogram 1	1	213.982104801902	214.164737875185	647.334369559006	2581.12657641455	473_210_5
24	Spectrogram 1	1	214.846995430067	215.084607941779	597.749953998608	2713.35168457562	473_210_6
25	Spectrogram 1	1	260.562480659504	260.824055342006	696.918785119405	2498.48588381389	473_260_1
26	Spectrogram 1	1	260.995144156406	261.216492866198	713.446923639538	2647.23913049509	473_260_2
27	Spectrogram 1	1	261.405081559124	261.646535686192	729.975062159671	2630.71099197495	473_260_3
28	Spectrogram 1	1	261.840850723361	262.084632937332	696.918785119405	2531.54216085416	473_260_4
29	Spectrogram 1	1	263.244408698585	263.473696010957	663.862508079139	2366.26077565283	473_260_5
30	Spectrogram 1	1	263.878825457876	264.094197930834	515.109261397944	2267.09194453203	473_260_6
31	Spectrogram 1	1	1253.69535844111	1253.8500713585	729.975062159671	2498.48588381389	473_1250_1
32	Spectrogram 1	1	1254.19185571072	1254.39420428436	696.918785119405	2564.59843789442	473_1250_2
33	Spectrogram 1	1	1254.59438785291	1254.81815762083	713.446923639538	2581.12657641455	473_1250_3
34	Spectrogram 1	1	1255.02447252248	1255.22145109171	763.031339199937	2498.48588381389	473_1255_1
35	Spectrogram 1	1	1255.45424032699	1255.6884678861	763.031339199937	2349.73263713269	473_1255_2
36	Spectrogram 1	1	1255.92544448974	1256.10192794085	763.031339199937	2250.5638060119	473_1255_3
37	Spectrogram 1	1	1256.36855908759	1256.61183517814	763.031339199937	2200.9793904515	473_1255_4
38	Spectrogram 1	1	1256.89230533955	1257.14005719579	680.390646599272	2283.62008305216	473_1255_5
39	Spectrogram 1	1	1257.44309609416	1257.73688958597	928.312724401265	2217.50752897163	473_1255_6
40	Spectrogram 1	1	1257.94684113342	1258.13177332804	779.55947772007	2250.5638060119	473_1255_7
41	Spectrogram 1	1	1258.79079403051	1258.95186589362	696.918785119405	2035.69800525017	473_1255_8
42	Spectrogram 1	1	1259.65914822436	1259.85985396424	680.390646599272	2134.86683637097	473_1255_9
43	Spectrogram 1	1	1260.55866440057	1260.75017157596	796.087616240203	2151.3949748911	473_1260_1
44	Spectrogram 1	1	1262.7348218456	1262.92924624188	779.55947772007	2498.48588381389	473_1260_2
45	Spectrogram 1	1	1263.2504446162	1263.44209969253	829.143893280468	2399.31705269309	473_1260_3
46	Spectrogram 1	1	1263.84257399856	1264.05369887447	845.672031800601	2432.37332973336	473_1260_4
47	Spectrogram 1	1	1265.9513724403	1266.04947148684	878.728308840867	2267.09194453203	473_1265_1
48	Spectrogram 1	1	1266.52587339246	1266.73184779913	911.784585881133	2300.14822157229	473_1265_2
49	Spectrogram 1	1	1267.09842181145	1267.31217095631	928.312724401265	2250.5638060119	473_1265_3
50	Spectrogram 1	1	1267.63535565757	1267.85125718668	862.200170320734	2366.26077565283	473_1265_4
51	Spectrogram 1	1	1268.55679012505	1268.78525854626	812.615754760335	2333.20449861256	473_1265_5
52	Spectrogram 1	1	1270.35304822798	1270.56942329763	746.503200679804	2250.5638060119	473_1270_1
53	Spectrogram 1	1	1271.72320634064	1271.92140464973	779.55947772007	2200.9793904515	473_1270_2
54	Spectrogram 1	1	1272.62645436421	1272.86590043556	862.200170320734	2316.67636009243	473_1270_3
55	Spectrogram 1	1	1273.16963685848	1273.40793398764	763.031339199937	2283.62008305216	473_1270_4
56	Spectrogram 1	1	1274.17162714285	1274.3656215515	746.503200679804	2267.09194453203	473_1270_5
57	Spectrogram 1	1	1275.09175764731	1275.30218578454	779.55947772007	2316.67636009243	473_1275_1
58	Spectrogram 1	1	1557.53638559719	1557.7837937077	763.031339199937	2928.21748533734	473_1555_1
59	Spectrogram 1	1	1558.03473675381	1558.24335813409	630.806231038874	2961.27376237761	473_1555_2
60	Spectrogram 1	1	1558.52766073042	1558.75729206456	729.975062159671	3093.49887053867	473_1555_3
61	Spectrogram 1	1	1559.27259409633	1559.49291022304	696.918785119405	2961.27376237761	473_1555_4
62	Spectrogram 1	1	1560.61099553184	1560.86790962648	763.031339199937	2812.52051569641	473_1560_1
63	Spectrogram 1	1	1561.41996191673	1561.69309948261	696.918785119405	2812.52051569641	473_1560_2
64	Spectrogram 1	1	1565.33547287988	1565.6007691024	713.446923639538	2581.12657641455	473_1565_1
65	Spectrogram 1	1	1565.8373144596	1566.11373928268	581.221815478475	2614.18285345482	473_1565_2
66	Spectrogram 1	1	1566.27684500666	1566.52921197456	647.334369559006	2895.16120829708	473_1565_3
67	Spectrogram 1	1	1566.70484384059	1566.95493724511	581.221815478475	2680.29540753535	473_1565_4
68	Spectrogram 1	1	1567.17530902391	1567.42118166024	647.334369559006	2531.54216085416	473_1565_5
69	Spectrogram 1	1	1567.69703097991	1567.93693246306	630.806231038874	2531.54216085416	473_1565_6
70	Spectrogram 1	1	1568.62686363373	1568.87687282262	746.503200679804	2564.59843789442	473_1565_7
71	Spectrogram 1	1	1569.28272016066	1569.50206681659	696.918785119405	2680.29540753535	473_1565_8
72	Spectrogram 1	1	3056.37263951074	3056.61084981556	713.446923639538	2234.03566749176	473_3055_1
73	Spectrogram 1	1	3056.74772319949	3056.94886378453	597.749953998608	2581.12657641455	473_3055_2
74	Spectrogram 1	1	3057.11392652018	3057.36323514555	729.975062159671	2498.48588381389	473_3055_3
75	Spectrogram 1	1	3057.52926830826	3057.81518932106	763.031339199937	2581.12657641455	473_3055_4
76	Spectrogram 1	1	3057.95109200769	3058.13070050218	779.55947772007	2795.99237717628	473_3055_5
77	Spectrogram 1	1	3058.41653157854	3058.62714962429	928.312724401265	2548.07029937429	473_3055_6
78	Spectrogram 1	1	3058.84595829458	3059.1253181904	928.312724401265	2548.07029937429	473_3055_7
79	Spectrogram 1	1	3059.30944488992	3059.53813540861	763.031339199937	2415.84519121323	473_3055_8
80	Spectrogram 1	1	3059.78078272075	3060.06484364352	812.615754760335	2597.65471493469	473_3055_9
81	Spectrogram 1	1	3060.2297007439	3060.49830871342	779.55947772007	2481.95774529376	473_3060_1
82	Spectrogram 1	1	3060.71186786547	3060.99583760729	812.615754760335	2531.54216085416	473_3060_2
83	Spectrogram 1	1	3061.21438462104	3061.42225318986	911.784585881133	2382.78891417296	473_3060_3
84	Spectrogram 1	1	3061.71884266873	3061.90169034675	895.256447361	2366.26077565283	473_3060_4
85	Spectrogram 1	1	3062.22917461584	3062.44472728513	878.728308840867	2167.92311341123	473_3060_5
86	Spectrogram 1	1	3062.77399402905	3063.03357330736	729.975062159671	2217.50752897163	473_3060_6
87	Spectrogram 1	1	3064.03343658247	3064.26644509646	829.143893280468	2267.09194453203	473_3060_7
88	Spectrogram 1	1	3072.42152086693	3072.67753714994	729.975062159671	2548.07029937429	473_3070_1
89	Spectrogram 1	1	3073.39203233927	3073.66446477049	647.334369559006	2498.48588381389	473_3070_2
90	Spectrogram 1	1	3073.91334713249	3074.12783624101	597.749953998608	2283.62008305216	473_3070_3
91	Spectrogram 1	1	3074.34579204635	3074.52688449755	663.862508079139	2415.84519121323	473_3070_4
92	Spectrogram 1	1	3074.81962632601	3075.12375941741	581.221815478475	2382.78891417296	473_3070_5
