Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	609.73886807061	609.881439954825	779.55947772007	2564.59843789442	58_610_2
2	Spectrogram 1	1	610.274503137612	610.493578966555	779.55947772007	2630.71099197495	58_610_1
3	Spectrogram 1	1	610.829993599557	611.070608725604	812.615754760335	2630.71099197495	58_610_3
4	Spectrogram 1	1	611.349098553527	611.637099352894	928.312724401265	2795.99237717628	58_610_4
5	Spectrogram 1	1	611.845943700148	612.100795813786	763.031339199937	2928.21748533734	58_610_5
6	Spectrogram 1	1	612.475006815623	612.785581271834	878.728308840867	2680.29540753535	58_610_6
7	Spectrogram 1	1	613.500221870993	613.847136765089	878.728308840867	2630.71099197495	58_610_7
8	Spectrogram 1	1	765.469116499813	765.854057756476	250.659045075817	3060.44259349841	58_765_1
9	Spectrogram 1	1	767.020595328576	767.09900525606	696.918785119405	2944.74562385748	58_765_2
10	Spectrogram 1	1	780.745339893693	781.166069976315	696.918785119405	3110.02700905881	58_780_1
11	Spectrogram 1	1	781.557324787074	781.629560680457	812.615754760335	2795.99237717628	58_780_2
12	Spectrogram 1	1	784.586550029133	784.806267319847	663.862508079139	2829.04865421655	58_780_3
13	Spectrogram 1	1	852.061356801788	852.484857163699	531.637399918076	2068.75428229043	58_850_1
14	Spectrogram 1	1	853.048044043236	853.27285455173	713.446923639538	2068.75428229043	58_850_2
15	Spectrogram 1	1	853.508512388955	853.586623270309	663.862508079139	3010.85817793801	58_850_3
16	Spectrogram 1	1	854.2200239609	854.293223169792	415.940430277146	2581.12657641455	58_850_4
17	Spectrogram 1	1	1228.71023144022	1229.17957769649	300.243460636216	2878.63306977695	58_1225_1
18	Spectrogram 1	1	1370.16906887431	1370.80229459933	366.356014716747	1853.88848152871	58_1370_1
19	Spectrogram 1	1	1382.05094423754	1382.50356874258	581.221815478475	2101.8105593307	58_1380_1
20	Spectrogram 1	1	2119.65961235485	2119.96714613475	647.334369559006	2564.59843789442	58_2115_1
21	Spectrogram 1	1	2125.58086572687	2126.07848091946	630.806231038874	2663.76726901522	58_2125_1
22	Spectrogram 1	1	2127.15539471038	2127.49922085079	746.503200679804	2746.40796161588	58_2125_2
23	Spectrogram 1	1	2128.51117761011	2128.93633539452	713.446923639538	2647.23913049509	58_2125_3
24	Spectrogram 1	1	2129.5501586035	2129.98587769307	763.031339199937	2795.99237717628	58_2125_4
25	Spectrogram 1	1	2136.50132909817	2136.97905864905	713.446923639538	2713.35168457562	58_2135_1
26	Spectrogram 1	1	2144.70284935607	2144.94119680829	283.715322116083	2184.45125193136	58_2145_1
27	Spectrogram 1	1	2145.31247108928	2145.39145019123	564.693676958342	2349.73263713269	58_2145_2
28	Spectrogram 1	1	2145.60401804058	2145.9827811191	300.243460636216	2250.5638060119	58_2145_3
29	Spectrogram 1	1	2147.06888007292	2147.53441180923	300.243460636216	2035.69800525017	58_2145_4
30	Spectrogram 1	1	2157.31872395914	2157.80422136973	696.918785119405	2614.18285345482	58_2155_1
31	Spectrogram 1	1	2158.32773557702	2158.62978917466	597.749953998608	2349.73263713269	58_2155_2
32	Spectrogram 1	1	3555.64758267386	3555.72945172234	663.862508079139	2085.28242081057	58_3555_1
33	Spectrogram 1	1	3555.73294185774	3555.80588943671	696.918785119405	1853.88848152871	58_3555_2
34	Spectrogram 1	1	3556.08238535161	3556.27583546645	696.918785119405	2630.71099197495	58_3555_3
35	Spectrogram 1	1	3556.8238187468	3557.03602905841	696.918785119405	2795.99237717628	58_3555_4
36	Spectrogram 1	1	5433.83688620067	5434.14543923525	300.243460636216	1787.77592744818	58_5430_1
37	Spectrogram 1	1	5434.33313268534	5434.40467728252	283.715322116083	1721.66337336764	58_5430_2
38	Spectrogram 1	1	6120.45060384354	6120.80767956393	382.88415323688	2134.86683637097	58_6120_1
39	Spectrogram 1	1	6140.14333970833	6140.43279179339	581.221815478475	1920.00103560924	58_6140_1
40	Spectrogram 1	1	6141.31526208106	6141.73110607279	415.940430277146	2498.48588381389	58_6140_2
41	Spectrogram 1	1	6149.58192746464	6150.08105194562	415.940430277146	2250.5638060119	58_6145_1
42	Spectrogram 1	1	6150.60996268905	6151.02094574049	234.130906555684	2498.48588381389	58_6150_1
43	Spectrogram 1	1	6152.90766307178	6153.40539736214	564.693676958342	2696.82354605548	58_6150_2
44	Spectrogram 1	1	6194.20219686794	6194.34928361452	663.862508079139	2614.18285345482	58_6190_1
45	Spectrogram 1	1	6209.09331082634	6209.44643343832	399.412291757013	2366.26077565283	58_6205_1
46	Spectrogram 1	1	6285.36791189452	6285.75600261616	515.109261397944	2944.74562385748	58_6285_1
47	Spectrogram 1	1	6288.72037424497	6289.21824306061	663.862508079139	2795.99237717628	58_6285_2
48	Spectrogram 1	1	6289.58751497253	6290.00207659785	531.637399918076	1886.94475856897	58_6285_3
49	Spectrogram 1	1	8352.42705866723	8352.75917763538	614.278092518741	2812.52051569641	58_8350_1
50	Spectrogram 1	1	8369.80042481565	8370.19444960861	663.862508079139	2548.07029937429	58_8370_1
51	Spectrogram 1	1	8372.65088385851	8372.94269663784	548.165538438209	2647.23913049509	58_8370_2
52	Spectrogram 1	1	8373.81254544316	8373.95901599019	465.524845837545	2134.86683637097	58_8370_3
53	Spectrogram 1	1	8374.93108964122	8375.14379902519	581.221815478475	2696.82354605548	58_8370_4
54	Spectrogram 1	1	8698.77156808481	8699.17236113973	349.827876196615	2548.07029937429	58_8695_1
55	Spectrogram 1	1	8699.89208723145	8700.20206688472	316.771599156349	2597.65471493469	58_8700_1
56	Spectrogram 1	1	8701.47642932865	8701.82891899159	746.503200679804	2663.76726901522	58_8700_2
57	Spectrogram 1	1	8703.53795372519	8703.81311930733	729.975062159671	2614.18285345482	58_8700_3
58	Spectrogram 1	1	8707.74040075665	8708.28620624422	366.356014716747	2729.87982309575	58_8705_1
