Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	3052.03593380057	3052.4585041878	283.715322116083	2647.23913049509	5_3050_1
2	Spectrogram 1	1	3055.5529860946	3055.98084728033	234.130906555684	2630.71099197495	5_3055_1
3	Spectrogram 1	1	3056.78610350907	3057.30042290591	300.243460636216	2415.84519121323	5_3055_2
4	Spectrogram 1	1	3086.53355798868	3086.8984720422	201.074629515419	2548.07029937429	5_3085_1
5	Spectrogram 1	1	3089.16295857509	3089.54587417935	151.49021395502	2630.71099197495	5_3085_2
6	Spectrogram 1	1	3090.23302044048	3090.568474252	250.659045075817	2366.26077565283	5_3090_1
7	Spectrogram 1	1	3091.53021619732	3091.97357111989	201.074629515419	2382.78891417296	5_3090_2
8	Spectrogram 1	1	3092.52958716245	3092.95864518475	118.433936914754	2762.93610013602	5_3090_3
9	Spectrogram 1	1	3094.13401121677	3094.47274476554	101.905798394621	1903.47289708911	5_3090_4
10	Spectrogram 1	1	3096.39416807489	3096.75019342938	300.243460636216	2597.65471493469	5_3095_1
11	Spectrogram 1	1	3097.81584860801	3098.21241081779	250.659045075817	2696.82354605548	5_3095_2
12	Spectrogram 1	1	3104.327300694	3104.69407611031	316.771599156349	2300.14822157229	5_3100_1
13	Spectrogram 1	1	3105.34669250888	3105.80902743582	366.356014716747	1936.52917412937	5_3105_1
14	Spectrogram 1	1	3107.70589805048	3108.0775157163	217.602768035552	2465.42960677362	5_3105_2
15	Spectrogram 1	1	3108.54941801776	3108.91553171434	531.637399918076	2597.65471493469	5_3105_3
16	Spectrogram 1	1	3109.49282416831	3109.79400158945	663.862508079139	2531.54216085416	5_3105_4
17	Spectrogram 1	1	3110.39779089754	3110.68808559241	382.88415323688	2316.67636009243	5_3110_1
18	Spectrogram 1	1	3113.21704890565	3113.63435829519	250.659045075817	2101.8105593307	5_3110_2
19	Spectrogram 1	1	3120.69684309531	3121.08904326182	300.243460636216	1953.0573126495	5_3120_1
20	Spectrogram 1	1	3121.79129808835	3122.19567694633	316.771599156349	2019.16986673004	5_3120_2
21	Spectrogram 1	1	3122.58025752428	3122.91784331827	531.637399918076	2035.69800525017	5_3120_3
22	Spectrogram 1	1	3125.58002527713	3125.98323801617	614.278092518741	2035.69800525017	5_3125_1
23	Spectrogram 1	1	4052.28679961112	4052.67912545755	366.356014716747	2349.73263713269	5_4050_1
24	Spectrogram 1	1	4130.36376448557	4130.7342074113	349.827876196615	3159.6114246192	5_4130_1
25	Spectrogram 1	1	4132.25490423247	4132.87047123451	316.771599156349	2663.76726901522	5_4130_2
26	Spectrogram 1	1	4133.27855391771	4133.68059514008	366.356014716747	2663.76726901522	5_4130_3
27	Spectrogram 1	1	4134.73522158893	4135.22697380315	333.299737676482	2597.65471493469	5_4130_4
28	Spectrogram 1	1	4135.56668461001	4135.84520849237	415.940430277146	2465.42960677362	5_4135_2
29	Spectrogram 1	1	4139.57397789816	4139.98767333467	300.243460636216	2581.12657641455	5_4135_1
30	Spectrogram 1	1	4140.58966463235	4140.91298798257	316.771599156349	3291.83653278027	5_4140_1
31	Spectrogram 1	1	4143.76191149244	4144.20120992808	250.659045075817	2795.99237717628	5_4140_2
32	Spectrogram 1	1	4149.50703672574	4149.93733831475	250.659045075817	2167.92311341123	5_4145_1
33	Spectrogram 1	1	4152.70761204104	4153.1431576984	333.299737676482	2382.78891417296	5_4150_1
