Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	316.611218534075	316.870102580736	515.109261397944	2878.63306977695	665_315_1
2	Spectrogram 1	1	317.956761580361	318.234987692083	581.221815478475	2432.37332973336	665_315_2
3	Spectrogram 1	1	319.98000072547	320.17106802068	498.58112287781	2333.20449861256	665_320_1
4	Spectrogram 1	1	321.884781041307	322.165738291412	168.018352475153	1886.94475856897	665_320_2
5	Spectrogram 1	1	4944.30603975884	4944.45177228045	581.221815478475	2349.73263713269	665_4940_1
6	Spectrogram 1	1	5042.99784428328	5043.21060660945	498.58112287781	2713.35168457562	665_5040_1
7	Spectrogram 1	1	5045.80176546983	5046.06151189682	498.58112287781	2944.74562385748	665_5045_1
8	Spectrogram 1	1	5104.82716984896	5104.97272992931	713.446923639538	2895.16120829708	665_5105_1
9	Spectrogram 1	1	5105.39633291176	5105.69516212127	663.862508079139	2795.99237717628	665_5105_2
10	Spectrogram 1	1	5105.97178878196	5106.27448190362	564.693676958342	2696.82354605548	665_5105_3
11	Spectrogram 1	1	5272.89603938415	5273.27817199129	465.524845837545	2085.28242081057	665_5270_1
12	Spectrogram 1	1	5273.76462842652	5274.01865430801	548.165538438209	1936.52917412937	665_5270_2
13	Spectrogram 1	1	5914.33583584635	5914.59567067408	498.58112287781	2762.93610013602	665_5910_1
14	Spectrogram 1	1	5915.10955835028	5915.23955738297	415.940430277146	2481.95774529376	665_5915_1
15	Spectrogram 1	1	5915.60881741391	5915.6923040547	647.334369559006	2895.16120829708	665_5915_2
16	Spectrogram 1	1	5916.26383229529	5916.71619500077	432.468568797279	2795.99237717628	665_5915_3
17	Spectrogram 1	1	5918.61065389904	5918.86386134497	415.940430277146	2349.73263713269	665_5915_4
18	Spectrogram 1	1	5921.54095505966	5921.8018786941	482.052984357678	2647.23913049509	665_5920_1
19	Spectrogram 1	1	5922.40500110634	5922.66065540653	267.18718359595	1986.11358968977	665_5920_2
20	Spectrogram 1	1	5923.400280691	5923.63907881924	349.827876196615	2300.14822157229	665_5920_3
