Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	611.695693566417	611.790515273407	663.862508079139	2432.37332973336	694_610_1
2	Spectrogram 1	1	612.221834418146	612.294892821755	696.918785119405	2680.29540753535	694_610_2
3	Spectrogram 1	1	613.440430007368	613.545072835432	663.862508079139	2647.23913049509	694_610_3
4	Spectrogram 1	1	626.407937442519	626.662577266751	531.637399918076	2515.01402233402	694_625_1
5	Spectrogram 1	1	627.087866202265	627.285016500094	663.862508079139	2498.48588381389	694_625_2
6	Spectrogram 1	1	630.666884132933	630.906156893386	548.165538438209	2399.31705269309	694_630_1
7	Spectrogram 1	1	631.359393823891	631.451982967771	448.996707317412	2498.48588381389	694_630_2
8	Spectrogram 1	1	635.892740433704	636.07504904459	729.975062159671	2250.5638060119	694_635_1
9	Spectrogram 1	1	636.366720538374	636.53778645932	779.55947772007	2382.78891417296	694_635_2
10	Spectrogram 1	1	636.800914462925	636.984828597495	696.918785119405	2581.12657641455	694_635_3
11	Spectrogram 1	1	637.24471454806	637.449713765712	713.446923639538	2432.37332973336	694_635_4
12	Spectrogram 1	1	2120.04995788203	2120.31297379954	548.165538438209	2217.50752897163	694_2120_1
13	Spectrogram 1	1	3649.94194510895	3650.04677772698	696.918785119405	2696.82354605548	694_3650_1
14	Spectrogram 1	1	3650.5196718084	3650.68441177902	647.334369559006	2415.84519121323	694_3650_2
15	Spectrogram 1	1	3651.09996686441	3651.1550340891	663.862508079139	2564.59843789442	694_3650_3
16	Spectrogram 1	1	3651.68417562616	3651.81465833546	812.615754760335	2465.42960677362	694_3650_4
17	Spectrogram 1	1	3652.71359765069	3652.85100967015	680.390646599272	2614.18285345482	694_3650_5
18	Spectrogram 1	1	4866.45231196109	4866.52033843574	647.334369559006	2432.37332973336	694_4865_1
19	Spectrogram 1	1	4867.61741826599	4867.81833636138	696.918785119405	2448.90146825349	694_4865_2
20	Spectrogram 1	1	4868.19893634455	4868.3366428733	746.503200679804	2267.09194453203	694_4865_3
21	Spectrogram 1	1	4868.79353093824	4869.03626721796	531.637399918076	2548.07029937429	694_4865_4
22	Spectrogram 1	1	4869.35002249187	4869.58502695316	498.58112287781	2564.59843789442	694_4865_5
23	Spectrogram 1	1	4870.29631294019	4870.54647325778	630.806231038874	2382.78891417296	694_4870_1
24	Spectrogram 1	1	4871.23162229442	4871.42557392775	548.165538438209	2366.26077565283	694_4870_2
25	Spectrogram 1	1	4872.76851893319	4872.99673591135	548.165538438209	2515.01402233402	694_4870_3
26	Spectrogram 1	1	4873.48522631373	4873.76652656374	647.334369559006	2448.90146825349	694_4870_4
27	Spectrogram 1	1	4874.00559637594	4874.22999445005	597.749953998608	2481.95774529376	694_4870_5
28	Spectrogram 1	1	4874.732470146	4875.0940420522	515.109261397944	2465.42960677362	694_4870_6
29	Spectrogram 1	1	4875.36873723801	4875.69598707595	696.918785119405	2498.48588381389	694_4875_1
30	Spectrogram 1	1	4882.80904726603	4883.22986003221	448.996707317412	2283.62008305216	694_4880_1
31	Spectrogram 1	1	4883.27074924711	4883.50312125151	432.468568797279	2200.9793904515	694_4880_2
32	Spectrogram 1	1	4884.08988256163	4884.40765742983	614.278092518741	2481.95774529376	694_4880_3
33	Spectrogram 1	1	4884.61902359353	4884.79749251636	729.975062159671	2548.07029937429	694_4880_4
34	Spectrogram 1	1	4885.5151666289	4885.72305677935	564.693676958342	2448.90146825349	694_4885_1
35	Spectrogram 1	1	4886.95251208817	4887.20231138763	630.806231038874	2597.65471493469	694_4885_2
36	Spectrogram 1	1	4887.3894432594	4887.5839653091	515.109261397944	2366.26077565283	694_4885_3
