Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	1404.51662448984	1404.69683553795	432.468568797279	2746.40796161588	756_1405_1
2	Spectrogram 1	1	1405.63033329592	1406.35444479622	465.524845837545	2862.10493125681	756_1405_2
3	Spectrogram 1	1	1406.82461589732	1407.53412144639	581.221815478475	2812.52051569641	756_1405_3
4	Spectrogram 1	1	1868.15318691849	1868.5702760954	498.58112287781	2481.95774529376	756_1865_1
5	Spectrogram 1	1	1869.04906662927	1869.4552302756	498.58112287781	2680.29540753535	756_1865_2
6	Spectrogram 1	1	1869.95547497148	1870.60496838988	548.165538438209	2366.26077565283	756_1870_1
7	Spectrogram 1	1	1877.31589188729	1877.75059932603	581.221815478475	2465.42960677362	756_1875_1
8	Spectrogram 1	1	1878.20075505172	1878.61915065561	663.862508079139	2581.12657641455	756_1875_2
9	Spectrogram 1	1	1879.38757843201	1879.79552262003	581.221815478475	2614.18285345482	756_1875_3
10	Spectrogram 1	1	1880.42323613692	1881.01269366409	647.334369559006	2515.01402233402	756_1880_1
11	Spectrogram 1	1	1885.36097515418	1885.68345909938	614.278092518741	2415.84519121323	756_1885_1
12	Spectrogram 1	1	1886.28063818564	1886.6318881094	663.862508079139	2696.82354605548	756_1885_2
13	Spectrogram 1	1	1893.23953532818	1893.75412916417	630.806231038874	2498.48588381389	756_1890_1
14	Spectrogram 1	1	1894.23265407307	1894.63359558658	564.693676958342	2415.84519121323	756_1890_2
15	Spectrogram 1	1	1902.03509838383	1902.434564625	548.165538438209	2267.09194453203	756_1900_1
16	Spectrogram 1	1	1902.97433128724	1903.3934956454	531.637399918076	2399.31705269309	756_1900_2
17	Spectrogram 1	1	1904.97380480685	1905.18742920625	630.806231038874	2399.31705269309	756_1905_1
18	Spectrogram 1	1	1905.91636408428	1906.08728897442	630.806231038874	2564.59843789442	756_1905_2
19	Spectrogram 1	1	1906.48954662884	1906.64534322422	548.165538438209	2465.42960677362	756_1905_3
20	Spectrogram 1	1	1907.09014512704	1907.22927251028	630.806231038874	2498.48588381389	756_1905_4
21	Spectrogram 1	1	1907.78018229234	1907.87629718248	763.031339199937	2481.95774529376	756_1905_5
22	Spectrogram 1	1	1908.42357121458	1908.65022560174	779.55947772007	2564.59843789442	756_1905_7
23	Spectrogram 1	1	1909.23256294001	1909.39363523183	696.918785119405	2630.71099197495	756_1905_6
24	Spectrogram 1	1	1917.31581797549	1917.73933204925	729.975062159671	2498.48588381389	756_1915_1
25	Spectrogram 1	1	1918.23111570778	1918.59536522528	779.55947772007	2349.73263713269	756_1915_2
26	Spectrogram 1	1	1927.67134439978	1928.09941129764	647.334369559006	2349.73263713269	756_1925_1
27	Spectrogram 1	1	2261.68233203594	2261.93032382343	680.390646599272	2515.01402233402	756_2260_1
28	Spectrogram 1	1	2262.31992253488	2262.39617818022	796.087616240203	2531.54216085416	756_2260_2
29	Spectrogram 1	1	2262.94291079897	2263.05984079376	829.143893280468	2349.73263713269	756_2260_3
30	Spectrogram 1	1	2263.6948460018	2263.8812153953	746.503200679804	2481.95774529376	756_2260_4
31	Spectrogram 1	1	2264.48708187613	2264.64074526253	680.390646599272	2630.71099197495	756_2260_5
32	Spectrogram 1	1	2265.32019396945	2265.46243244835	614.278092518741	2515.01402233402	756_2265_1
33	Spectrogram 1	1	2265.98729397028	2266.08976197415	729.975062159671	2680.29540753535	756_2265_2
34	Spectrogram 1	1	2266.68230112315	2266.8959793451	597.749953998608	2564.59843789442	756_2265_3
35	Spectrogram 1	1	2267.46194371719	2267.57706596311	746.503200679804	2399.31705269309	756_2265_4
36	Spectrogram 1	1	2277.80019511304	2278.00746001107	680.390646599272	2382.78891417296	756_2275_1
37	Spectrogram 1	1	2278.67497335619	2278.94104263232	597.749953998608	2382.78891417296	756_2275_2
38	Spectrogram 1	1	2279.50628048419	2279.63405697217	763.031339199937	2448.90146825349	756_2275_3
39	Spectrogram 1	1	2280.41935031916	2280.87167827188	663.862508079139	2515.01402233402	756_2280_1
40	Spectrogram 1	1	2285.97724625607	2286.28662482096	498.58112287781	2349.73263713269	756_2285_1
41	Spectrogram 1	1	2287.0457169132	2287.33915565384	581.221815478475	2498.48588381389	756_2285_2
42	Spectrogram 1	1	2395.54769965441	2395.70440012423	614.278092518741	2382.78891417296	756_2395_2
43	Spectrogram 1	1	2397.84440116339	2398.13665463937	548.165538438209	2283.62008305216	756_2395_1
44	Spectrogram 1	1	2406.40062076552	2406.94902480073	614.278092518741	2448.90146825349	756_2405_1
