Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	4387.78013636311	4388.14578703335	581.221815478475	2200.9793904515	2856.0
2	Spectrogram 1	1	4388.62151648359	4388.98646110254	680.390646599272	2118.33869785083	2857.0
3	Spectrogram 1	1	4389.49486121872	4389.99733213501	763.031339199937	2167.92311341123	2858.0
4	Spectrogram 1	1	4390.3973050944	4390.77215334469	647.334369559006	2052.2261437703	2859.0
5	Spectrogram 1	1	4405.41000334469	4405.93000334469	647.334369559006	2052.2261437703	2866.0
6	Spectrogram 1	1	4406.27000334469	4406.79500334469	647.334369559006	2052.2261437703	2867.0
7	Spectrogram 1	1	4407.16000334469	4407.69100334469	647.334369559006	2052.2261437703	2868.0
8	Spectrogram 1	1	4420.63328014652	4421.02162521255	432.468568797279	2200.9793904515	2860.0
9	Spectrogram 1	1	4421.51948833131	4421.89625169549	515.109261397944	2134.86683637097	2861.0
10	Spectrogram 1	1	4422.4554205896	4422.84274521689	515.109261397944	2167.92311341123	2862.0
11	Spectrogram 1	1	4556.62615370874	4557.00510152473	548.165538438209	2134.86683637097	2863.0
12	Spectrogram 1	1	4557.54054084487	4557.90124705335	597.749953998608	2035.69800525017	2864.0
13	Spectrogram 1	1	4558.45361238161	4558.83281032215	498.58112287781	2068.75428229043	2865.0
