Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	12190.3782886342	12190.6906126574	614.278092518741	2283.62008305216	2878.0
2	Spectrogram 1	1	12190.8791764834	12191.2384760695	548.165538438209	2134.86683637097	2879.0
3	Spectrogram 1	1	12191.4621386963	12191.8462126489	498.58112287781	2316.67636009243	2880.0
4	Spectrogram 1	1	12226.5093364241	12226.8295394237	515.109261397944	2200.9793904515	2881.0
5	Spectrogram 1	1	12227.0344191027	12227.4095767513	531.637399918076	2250.5638060119	2882.0
6	Spectrogram 1	1	12227.662137245	12228.0611416831	531.637399918076	2167.92311341123	2883.0
7	Spectrogram 1	1	12319.9545758834	12320.282266395	482.052984357678	2333.20449861256	2884.0
8	Spectrogram 1	1	12320.4757884769	12320.8337766032	482.052984357678	2250.5638060119	2885.0
9	Spectrogram 1	1	12321.0933538648	12321.4841989132	564.693676958342	2432.37332973336	2886.0
10	Spectrogram 1	1	12372.4636742474	12372.7601094725	630.806231038874	2316.67636009243	2887.0
11	Spectrogram 1	1	12372.9734173086	12373.3210585302	614.278092518741	2399.31705269309	2888.0
12	Spectrogram 1	1	12373.58000608	12373.9206227906	713.446923639538	2300.14822157229	2889.0
13	Spectrogram 1	1	12971.9964838824	12972.6598575666	283.715322116083	2300.14822157229	2890.0
14	Spectrogram 1	1	12973.2183954598	12973.947911186	448.996707317412	2300.14822157229	2891.0
15	Spectrogram 1	1	13006.0325725816	13006.693774432	548.165538438209	2399.31705269309	2892.0
16	Spectrogram 1	1	13007.2839315041	13007.9815771687	465.524845837545	2399.31705269309	2893.0
17	Spectrogram 1	1	13008.6802758684	13009.3815514479	581.221815478475	2316.67636009243	2894.0
18	Spectrogram 1	1	13024.4059444465	13025.0610477527	498.58112287781	2465.42960677362	2895.0
19	Spectrogram 1	1	13025.6848815987	13026.3910066295	482.052984357678	2481.95774529376	2896.0
20	Spectrogram 1	1	13116.5893685434	13117.2641245835	448.996707317412	2316.67636009243	2897.0
21	Spectrogram 1	1	13117.8500658595	13118.5437822688	564.693676958342	2465.42960677362	2898.0
22	Spectrogram 1	1	13166.2506718599	13166.9413432201	597.749953998608	2812.52051569641	2899.0
23	Spectrogram 1	1	13167.518524314	13168.2262945584	630.806231038874	2795.99237717628	2900.0
24	Spectrogram 1	1	13190.4630811714	13191.1230365301	482.052984357678	2399.31705269309	2901.0
25	Spectrogram 1	1	13191.7654239716	13192.4497834788	399.412291757013	2349.73263713269	2902.0
26	Spectrogram 1	1	13204.6195583317	13205.312942792	548.165538438209	2366.26077565283	2903.0
27	Spectrogram 1	1	13205.9260631653	13206.635818111	548.165538438209	2382.78891417296	2904.0
28	Spectrogram 1	1	13226.2279689421	13226.8907634148	515.109261397944	2234.03566749176	2905.0
29	Spectrogram 1	1	13227.5571464516	13228.2810082676	498.58112287781	2316.67636009243	2906.0
30	Spectrogram 1	1	13248.9398773767	13249.6254315818	498.58112287781	2382.78891417296	2907.0
31	Spectrogram 1	1	13250.2398626428	13250.9273744117	515.109261397944	2333.20449861256	2908.0
32	Spectrogram 1	1	13264.8757301217	13265.5635526482	498.58112287781	2333.20449861256	2909.0
