Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	113.505212006001	114.038869858284	531.637399918076	2515.01402233402	917_110_1
2	Spectrogram 1	1	114.617500456752	115.150568544525	531.637399918076	2845.57679273668	917_110_2
3	Spectrogram 1	1	115.745176211884	116.308231935403	581.221815478475	2548.07029937429	917_115_1
4	Spectrogram 1	1	267.118761434484	267.599749248406	597.749953998608	2944.74562385748	917_265_1
5	Spectrogram 1	1	268.139154272661	268.62083440867	581.221815478475	2481.95774529376	917_265_2
6	Spectrogram 1	1	733.372818490006	733.655802609929	548.165538438209	2614.18285345482	917_730_1
7	Spectrogram 1	1	733.865615277231	734.108358358284	647.334369559006	2531.54216085416	917_730_2
8	Spectrogram 1	1	734.277308242602	734.446908615417	729.975062159671	2448.90146825349	917_730_3
9	Spectrogram 1	1	734.667684750098	734.859371766652	729.975062159671	2729.87982309575	917_730_4
10	Spectrogram 1	1	735.089337432494	735.28546964757	713.446923639538	2713.35168457562	917_735_1
11	Spectrogram 1	1	735.489988102206	735.753085072362	696.918785119405	2647.23913049509	917_735_2
12	Spectrogram 1	1	735.90160872519	736.099761456586	746.503200679804	2680.29540753535	917_735_3
13	Spectrogram 1	1	1060.13387890213	1060.28782041365	630.806231038874	2432.37332973336	917_1060_1
14	Spectrogram 1	1	1060.57829952671	1060.74529993151	680.390646599272	2498.48588381389	917_1060_2
15	Spectrogram 1	1	1061.02739454352	1061.22164521745	746.503200679804	2531.54216085416	917_1060_3
16	Spectrogram 1	1	1061.44154023638	1061.53999179741	729.975062159671	2481.95774529376	917_1060_4
17	Spectrogram 1	1	1061.91297799594	1062.003516884	663.862508079139	2779.46423865615	917_1060_5
18	Spectrogram 1	1	1062.33346333442	1062.47472558459	779.55947772007	2531.54216085416	917_1060_6
19	Spectrogram 1	1	1062.78991910178	1063.06921339739	779.55947772007	2647.23913049509	917_1060_7
20	Spectrogram 1	1	1063.2115330238	1063.34059802286	763.031339199937	2548.07029937429	917_1060_8
21	Spectrogram 1	1	1063.63709973498	1063.81035347042	630.806231038874	2515.01402233402	917_1060_9
22	Spectrogram 1	1	1064.10573537991	1064.26055397266	713.446923639538	2581.12657641455	917_1060_10
23	Spectrogram 1	1	1064.60602306675	1064.85713559135	713.446923639538	2729.87982309575	917_1060_11
24	Spectrogram 1	1	1065.05504467412	1065.1645468407	696.918785119405	2663.76726901522	917_1065_1
25	Spectrogram 1	1	1065.47949812766	1065.65837115475	696.918785119405	2548.07029937429	917_1065_2
26	Spectrogram 1	1	1065.92278265021	1066.12502247175	763.031339199937	2647.23913049509	917_1065_3
27	Spectrogram 1	1	1066.37587369838	1066.57660914693	597.749953998608	2448.90146825349	917_1065_4
28	Spectrogram 1	1	1066.90728355799	1067.1224448399	663.862508079139	2498.48588381389	917_1065_5
29	Spectrogram 1	1	1067.41333150908	1067.67944926315	729.975062159671	2663.76726901522	917_1065_6
30	Spectrogram 1	1	1067.90239052941	1068.15611864943	614.278092518741	2548.07029937429	917_1065_7
31	Spectrogram 1	1	1068.44694231113	1068.64197575984	614.278092518741	2713.35168457562	917_1065_8
32	Spectrogram 1	1	1068.92692438397	1069.10827736611	779.55947772007	2597.65471493469	917_1065_9
33	Spectrogram 1	1	1069.59782815186	1069.66947876449	729.975062159671	2134.86683637097	917_1065_10
34	Spectrogram 1	1	1069.93311086609	1070.14888633341	812.615754760335	2564.59843789442	917_1065_11
35	Spectrogram 1	1	1070.30336364115	1070.52243779201	680.390646599272	2399.31705269309	917_1070_1
36	Spectrogram 1	1	1070.65094820613	1070.83896041501	696.918785119405	2531.54216085416	917_1070_2
37	Spectrogram 1	1	1071.02478468067	1071.22397717296	515.109261397944	2746.40796161588	917_1070_3
