Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	63.6274399249821	63.7329648029539	581.221815478475	2663.76726901522	98_60_1
2	Spectrogram 1	1	1124.96566252717	1125.13868727467	581.221815478475	2366.26077565283	98_1125_1
3	Spectrogram 1	1	1125.44114237306	1125.63434495971	696.918785119405	2597.65471493469	98_1125_2
4	Spectrogram 1	1	1125.88210244205	1125.89818158748	564.693676958342	2465.42960677362	98_1125_3
5	Spectrogram 1	1	1126.36181053833	1126.52082756274	845.672031800601	2481.95774529376	98_1125_4
6	Spectrogram 1	1	1126.86605394956	1127.1390486603	696.918785119405	2548.07029937429	98_1125_5
7	Spectrogram 1	1	1127.44425725942	1127.69811024814	845.672031800601	2432.37332973336	98_1125_6
8	Spectrogram 1	1	1127.96864245721	1128.22658370951	746.503200679804	2432.37332973336	98_1125_7
9	Spectrogram 1	1	1128.53207374978	1128.64343636776	696.918785119405	2366.26077565283	98_1125_8
10	Spectrogram 1	1	1129.11745347611	1129.27655102869	862.200170320734	2217.50752897163	98_1125_9
11	Spectrogram 1	1	1129.72056064242	1129.90623624304	663.862508079139	2101.8105593307	98_1125_10
12	Spectrogram 1	1	1130.32290352033	1130.44082217974	630.806231038874	2250.5638060119	98_1130_1
13	Spectrogram 1	1	1132.07251264345	1132.24118900209	845.672031800601	2349.73263713269	98_1130_2
14	Spectrogram 1	1	1133.1454900895	1133.46054731679	763.031339199937	2333.20449861256	98_1130_3
15	Spectrogram 1	1	1133.638716692	1133.88617722558	713.446923639538	2283.62008305216	98_1130_4
16	Spectrogram 1	1	1134.70494003047	1134.88774387659	630.806231038874	2085.28242081057	98_1130_5
17	Spectrogram 1	1	3357.14958578882	3357.49753659878	531.637399918076	2564.59843789442	98_3355_1
18	Spectrogram 1	1	3357.94103087363	3358.3144059115	581.221815478475	2548.07029937429	98_3355_2
19	Spectrogram 1	1	3404.33810555066	3404.91749483957	597.749953998608	2614.18285345482	98_3400_1
